,Date ,WTFESY,Unnamed: 2
0,6/01/1999,,
1,13/01/1999,160.0,
2,20/01/1999,157.0,
3,27/01/1999,153.0,
4,3/02/1999,151.5,
5,10/02/1999,150.0,
6,17/02/1999,150.75,
7,24/02/1999,151.5,
8,3/03/1999,152.25,
9,10/03/1999,153.0,
10,17/03/1999,153.0,
11,24/03/1999,158.0,
12,31/03/1999,158.0,
13,7/04/1999,158.0,
14,14/04/1999,160.0,
15,21/04/1999,160.0,
16,28/04/1999,158.0,
17,5/05/1999,158.0,
18,12/05/1999,160.0,
19,19/05/1999,160.0,
20,26/05/1999,160.0,
21,2/06/1999,160.0,
22,9/06/1999,160.0,
23,16/06/1999,160.0,
24,23/06/1999,160.0,
25,30/06/1999,160.0,
26,7/07/1999,160.0,
27,14/07/1999,160.0,
28,21/07/1999,158.0,
29,28/07/1999,156.0,
30,4/08/1999,156.0,
31,11/08/1999,155.0,
32,18/08/1999,155.0,
33,25/08/1999,157.0,
34,1/09/1999,157.0,
35,8/09/1999,155.0,
36,15/09/1999,156.0,
37,22/09/1999,156.0,
38,29/09/1999,156.0,
39,6/10/1999,158.0,
40,13/10/1999,158.0,
41,20/10/1999,158.0,
42,27/10/1999,156.0,
43,3/11/1999,151.0,
44,10/11/1999,158.0,
45,17/11/1999,148.0,
46,24/11/1999,145.0,
47,1/12/1999,140.0,
48,8/12/1999,144.0,
49,15/12/1999,144.0,
50,22/12/1999,143.0,
51,29/12/1999,143.0,
52,5/01/2000,143.66666666666666,
53,12/01/2000,144.33333333333334,
54,19/01/2000,145.0,
55,26/01/2000,148.0,
56,2/02/2000,153.0,
57,9/02/2000,151.0,
58,16/02/2000,152.0,
59,23/02/2000,155.0,
60,1/03/2000,152.0,
61,8/03/2000,153.0,
62,15/03/2000,153.0,
63,22/03/2000,154.0,
64,29/03/2000,154.0,
65,5/04/2000,154.0,
66,12/04/2000,154.0,
67,19/04/2000,154.0,
68,26/04/2000,154.0,
69,3/05/2000,152.0,
70,10/05/2000,155.0,
71,17/05/2000,158.0,
72,24/05/2000,160.0,
73,31/05/2000,160.0,
74,7/06/2000,160.0,
75,14/06/2000,160.0,
76,21/06/2000,165.0,
77,28/06/2000,165.0,
78,5/07/2000,164.0,
79,12/07/2000,162.0,
80,19/07/2000,162.0,
81,26/07/2000,162.0,
82,2/08/2000,162.0,
83,9/08/2000,164.0,
84,16/08/2000,160.0,
85,23/08/2000,158.0,
86,30/08/2000,154.0,
87,6/09/2000,155.0,
88,13/09/2000,160.0,
89,20/09/2000,163.0,
90,27/09/2000,168.0,
91,4/10/2000,162.0,
92,11/10/2000,160.0,
93,18/10/2000,163.0,
94,25/10/2000,165.0,
95,1/11/2000,168.0,
96,8/11/2000,169.0,
97,15/11/2000,175.0,
98,22/11/2000,178.0,
99,29/11/2000,180.0,
100,6/12/2000,180.0,
101,13/12/2000,180.0,
102,20/12/2000,180.0,
103,27/12/2000,180.0,
104,3/01/2001,180.0,
105,10/01/2001,180.0,
106,17/01/2001,180.0,
107,24/01/2001,180.0,
108,31/01/2001,180.0,
109,7/02/2001,180.0,
110,14/02/2001,183.0,
111,21/02/2001,160.0,
112,28/02/2001,160.0,
113,7/03/2001,163.0,
114,14/03/2001,166.0,
115,21/03/2001,163.0,
116,28/03/2001,165.0,
117,4/04/2001,168.0,
118,11/04/2001,173.0,
119,18/04/2001,171.0,
120,25/04/2001,179.0,
121,2/05/2001,179.0,
122,9/05/2001,179.0,
123,17/05/2001,178.0,
124,23/05/2001,180.0,
125,30/05/2001,182.0,
126,6/06/2001,183.0,
127,13/06/2001,185.0,
128,20/06/2001,186.0,
129,27/06/2001,194.0,
130,4/07/2001,193.0,
131,11/07/2001,204.0,
132,18/07/2001,206.0,
133,25/07/2001,208.0,
134,1/08/2001,209.0,
135,8/08/2001,193.0,
136,15/08/2001,193.0,
137,22/08/2001,190.0,
138,29/08/2001,193.0,
139,5/09/2001,193.0,
140,12/09/2001,193.0,
141,19/09/2001,190.0,
142,26/09/2001,193.0,
143,3/10/2001,203.0,
144,10/10/2001,206.0,
145,17/10/2001,196.0,
146,24/10/2001,195.0,
147,31/10/2001,203.0,
148,6/11/2001,210.0,
149,13/11/2001,210.0,
150,20/11/2001,203.0,
151,27/11/2001,195.0,
152,4/12/2001,195.0,
153,11/12/2001,205.0,
154,18/12/2001,210.0,
155,25/12/2001,211.66666666666666,
156,1/01/2002,213.33333333333334,
157,8/01/2002,215.0,
158,15/01/2002,220.0,
159,22/01/2002,225.0,
160,29/01/2002,230.0,
161,6/02/2002,225.0,
162,13/02/2002,220.0,
163,20/02/2002,230.0,
164,27/02/2002,228.0,
165,6/03/2002,225.0,
166,13/03/2002,225.0,
167,20/03/2002,217.0,
168,27/03/2002,220.0,
169,3/04/2002,218.0,
170,10/04/2002,216.0,
171,17/04/2002,224.0,
172,24/04/2002,222.0,
173,1/05/2002,220.0,
174,8/05/2002,220.0,
175,15/05/2002,222.0,
176,22/05/2002,222.0,
177,29/05/2002,222.0,
178,5/06/2002,224.0,
179,12/06/2002,225.0,
180,19/06/2002,223.0,
181,26/06/2002,221.0,
182,3/07/2002,223.0,
