Date,WTFESY
1999-01-31,156.66666666666666
1999-02-28,150.9375
1999-03-31,154.85
1999-04-30,159.0
1999-05-31,159.5
1999-06-30,160.0
1999-07-31,158.5
1999-08-31,155.75
1999-09-30,156.0
1999-10-31,157.5
1999-11-30,150.5
1999-12-31,142.8
2000-01-31,145.25
2000-02-29,152.75
2000-03-31,153.2
2000-04-30,154.0
2000-05-31,157.0
2000-06-30,162.5
2000-07-31,162.5
2000-08-31,159.6
2000-09-30,161.5
2000-10-31,162.5
2000-11-30,174.0
2000-12-31,180.0
2001-01-31,180.0
2001-02-28,170.75
2001-03-31,164.25
2001-04-30,172.75
2001-05-31,179.6
2001-06-30,187.0
2001-07-31,202.75
2001-08-31,195.6
2001-09-30,192.25
2001-10-31,200.6
2001-11-30,204.5
2001-12-31,205.416666675
2002-01-31,220.66666666
2002-02-28,225.75
2002-03-31,221.75
2002-04-30,220.0
2002-05-31,221.2
2002-06-30,223.25
2002-07-31,235.6
2002-08-31,280.0
2002-09-30,320.0
2002-10-31,348.0
2002-11-30,353.75
2002-12-31,337.25
2003-01-31,342.8
2003-02-28,330.0
2003-03-31,305.0
2003-04-30,276.4
2003-05-31,291.25
2003-06-30,297.25
2003-07-31,262.0
2003-08-31,220.0
2003-09-30,226.25
2003-10-31,213.4
2003-11-30,210.5
2003-12-31,207.6
2004-01-31,206.75
2004-02-29,205.25
2004-03-31,215.4
2004-04-30,221.25
2004-05-31,231.25
2004-06-30,228.2
2004-07-31,211.25
2004-08-31,209.0
2004-09-30,200.6
2004-10-31,197.75
2004-11-30,188.75
2004-12-31,181.55
2005-01-31,175.58333333333334
2005-02-28,173.25
2005-03-31,178.8
2005-04-30,183.0
2005-05-31,212.5
2005-06-30,223.0
2005-07-31,208.25
2005-08-31,199.2
2005-09-30,189.5
2005-10-31,194.5
2005-11-30,183.6
2005-12-31,170.86666666000002
2006-01-31,175.666666675
2006-02-28,184.25
2006-03-31,190.0
2006-04-30,193.0
2006-05-31,198.2
2006-06-30,220.0
2006-07-31,218.0
2006-08-31,219.0
2006-09-30,243.75
2006-10-31,317.5
2006-11-30,329.0
2006-12-31,322.916666675
2007-01-31,321.06666666
2007-02-28,314.75
2007-03-31,301.25
2007-04-30,293.0
2007-05-31,294.0
2007-06-30,299.5
2007-07-31,311.25
2007-08-31,316.4
2007-09-30,408.75
2007-10-31,458.0
2007-11-30,430.0
2007-12-31,441.666666675
2008-01-31,445.66666666000003
2008-02-29,475.0
2008-03-31,512.5
2008-04-30,470.0
2008-05-31,430.0
2008-06-30,435.0
2008-07-31,449.0
2008-08-31,418.75
2008-09-30,403.75
2008-10-31,342.0
2008-11-30,281.875
2008-12-31,229.0
2009-01-31,267.5
2009-02-28,282.5
2009-03-31,281.0
2009-04-30,271.0
2009-05-31,273.125
2009-06-30,281.25
2009-07-31,278.0
2009-08-31,262.5
2009-09-30,250.0
2009-10-31,229.0
2009-11-30,230.0
2009-12-31,247.66666666
2010-01-31,250.416666675
2010-02-28,229.5
2010-03-31,224.5
2010-04-30,210.33333333333334
2010-05-31,218.66666666666666
2010-06-30,219.0
2010-07-31,235.2
2010-08-31,284.25
2010-09-30,301.2
2010-10-31,296.25
2010-11-30,261.25
2010-12-31,257.75
2011-01-31,250.9375
2011-02-28,250.0
2011-03-31,251.0
2011-04-30,257.5
2011-05-31,257.5
2011-06-30,253.2
2011-07-31,242.5
2011-08-31,243.0
2011-09-30,244.4
2011-10-31,231.25
2011-11-30,227.5
2011-12-31,204.75
2012-01-31,211.4375
2012-02-29,213.25
2012-03-31,209.4
2012-04-30,209.5
2012-05-31,221.6
2012-06-30,251.75
2012-07-31,286.25
2012-08-31,299.8
2012-09-30,310.25
2012-10-31,301.75
2012-11-30,307.2
2012-12-31,308.083333325
2013-01-31,308.13333334
2013-02-28,319.0
2013-03-31,315.25
2013-04-30,300.25
2013-05-31,309.6
2013-06-30,311.5
2013-07-31,308.5
2013-08-31,291.8
2013-09-30,283.5
2013-10-31,291.0
2013-11-30,298.75
2013-12-31,309.416666675
2014-01-31,309.26666666
2014-02-28,313.75
2014-03-31,327.5
2014-04-30,330.25
2014-05-31,333.2
2014-06-30,316.0
2014-07-31,291.7
2014-08-31,285.0
2014-09-30,283.75
2014-10-31,277.6
2014-11-30,301.5
2014-12-31,305.9375
2015-01-31,308.35
2015-02-28,298.5
2015-03-31,292.5
2015-04-30,299.0
2015-05-31,292.75
2015-06-30,298.0
2015-07-31,310.2
2015-08-31,296.25
2015-09-30,278.75
2015-10-31,283.8
2015-11-30,293.5
2015-12-31,285.55
2016-01-31,280.6875
2016-02-29,275.0
2016-03-31,258.73333334
2016-04-30,259.583333325
2016-05-31,262.75
2016-06-30,269.6
2016-07-31,255.25
2016-08-31,238.125
2016-09-30,232.0
2016-10-31,247.25
2016-11-30,247.0
2016-12-31,222.5
2017-01-31,215.25
2017-02-28,203.5
2017-03-31,210.0
2017-04-30,209.75
2017-05-31,217.5
2017-06-30,243.8
2017-07-31,276.75
2017-08-31,249.2
2017-09-30,255.0
2017-10-31,269.25
2017-11-30,256.0
2017-12-31,258.916666675
2018-01-31,250.833333325
2018-02-28,262.75
2018-03-31,277.4
2018-04-30,289.5
2018-05-31,338.2
2018-06-30,375.0
2018-07-31,372.5
2018-08-31,407.5
2018-09-30,430.0
2018-10-31,450.0
2018-11-30,446.0
2018-12-31,440.416666675
2019-01-31,441.33333332
2019-02-28,431.666666675
2019-03-31,411.25
