Date,OTH 18-20kg,OTH 20-22kg,OTH 22-24kg,WTFESY,Trade Lamb 18-22kg,Light Lamb 12-18kg,Heavy Lamb 22+kg,Merino Lamb 16-22kg,Restocker/feeder lamb 0-18kg,Mutton 18-24kg
31/01/2000,121.38,120.19,117.95875,86.42375,117.81,110.67,112.7525,86.42375,117.66125,32.87375
29/02/2000,114.38875,112.30625,111.265,90.88625,108.5875,96.6875,105.91,71.6975,99.81125,29.00625
31/03/2000,112.455,111.86,112.30625,91.154,106.743,99.722,103.887,78.302,92.225,33.677
30/04/2000,113.4466667,112.455,113.4466667,91.63,102.78625,98.62125,97.43125,76.60625,95.34875,39.41875
31/05/2000,105.077,105.553,110.313,93.415,95.05125,88.20875,94.9025,64.40875,82.11,43.7325
30/06/2000,92.62166669,98.175,109.48,96.6875,81.396,68.782,83.657,52.955,61.166,40.936
31/07/2000,86.156,91.63,103.054,96.6875,88.3575,77.49875,87.465,58.31,65.30125,47.8975
31/08/2000,76.30875,80.47375,94.15875,94.962,83.3,77.945,86.87,52.836,56.882,42.007
30/09/2000,75.11875,78.09375,97.58,96.0925,79.73,75.71375,92.67125,49.0875,66.78875,40.01375
31/10/2000,83.3,86.751,101.031,96.6875,85.085,80.325,91.77875,58.45875,85.68,35.84875
30/11/2000,95.64625,97.58,106.505,103.53,101.626,93.177,108.528,66.64,90.797,43.554
31/12/2000,101.745,105.91,111.86,107.1,108.810625,94.75375,116.545625,69.9125,94.381875,43.88125
31/01/2001,108.5875,111.86,119.8925,107.1,113.645,99.0675,116.17375,71.54875,92.225,37.485
28/02/2001,127.925,134.02375,143.0975,101.59625,139.5275,114.835,149.19625,90.1425,98.62125,46.85625
31/03/2001,134.91625,143.99,159.7575,97.72875,146.846,118.643,166.362,99.127,104.958,58.548
30/04/2001,139.944,146.132,165.172,102.78625,141.75875,116.9175,158.71625,105.0175,110.81875,72.73875
31/05/2001,131.7925,136.70125,158.41875,106.862,131.376,107.457,157.08,95.081,104.958,78.778
30/06/2001,139.08125,150.535,171.80625,111.265,165.85625,128.66875,185.3425,110.3725,115.43,93.26625
31/07/2001,149.345,165.172,183.379,120.63625,167.93875,133.28,184.00375,118.1075,115.87625,97.8775
31/08/2001,157.08,184.30125,189.95375,116.382,190.757,163.625,207.893,126.616,132.923,104.601
30/09/2001,193.0775,197.09375,202.0025,114.38875,195.90375,170.02125,212.56375,145.32875,151.87375,108.29
31/10/2001,162.673,173.264,188.377,119.357,166.005,140.42,182.9625,111.41375,145.4775,88.655
30/11/2001,161.245,172.55,185.78875,121.6775,166.243,146.489,177.548,119,149.226,83.419
31/12/2001,159.46,169.575,184.45,122.2229167,165.85625,147.41125,174.335,130.15625,147.56,82.4075
31/01/2002,165.85625,170.02125,184.45,131.2966667,172.907,149.226,175.287,117.929,135.898,81.039
28/02/2002,197.09375,187.1275,202.0025,134.32125,214.94375,190.6975,215.0925,163.9225,180.13625,106.65375
31/03/2002,206.7625,197.09375,207.3575,131.94125,203.93625,188.16875,207.50625,167.34375,173.74,108.29
