Quarter,CPIDec20
1/09/1948,0.032
1/12/1948,0.032
1/03/1949,0.033
1/06/1949,0.034
1/09/1949,0.035
1/12/1949,0.035
1/03/1950,0.036
1/06/1950,0.037
1/09/1950,0.038
1/12/1950,0.039
1/03/1951,0.041
1/06/1951,0.044
1/09/1951,0.045
1/12/1951,0.049
1/03/1952,0.05
1/06/1952,0.052
1/09/1952,0.053
1/12/1952,0.054
1/03/1953,0.054
1/06/1953,0.055
1/09/1953,0.055
1/12/1953,0.055
1/03/1954,0.055
1/06/1954,0.055
1/09/1954,0.055
1/12/1954,0.055
1/03/1955,0.055
1/06/1955,0.056
1/09/1955,0.056
1/12/1955,0.057
1/03/1956,0.057
1/06/1956,0.06
1/09/1956,0.061
1/12/1956,0.061
1/03/1957,0.061
1/06/1957,0.061
1/09/1957,0.061
1/12/1957,0.061
1/03/1958,0.061
1/06/1958,0.061
1/09/1958,0.061
1/12/1958,0.062
1/03/1959,0.062
1/06/1959,0.062
1/09/1959,0.063
1/12/1959,0.064
1/03/1960,0.064
1/06/1960,0.065
1/09/1960,0.066
1/12/1960,0.067
1/03/1961,0.067
1/06/1961,0.067
1/09/1961,0.067
1/12/1961,0.067
1/03/1962,0.067
1/06/1962,0.067
1/09/1962,0.067
1/12/1962,0.067
1/03/1963,0.067
1/06/1963,0.067
1/09/1963,0.067
1/12/1963,0.067
1/03/1964,0.068
1/06/1964,0.068
1/09/1964,0.069
1/12/1964,0.07
1/03/1965,0.07
1/06/1965,0.071
1/09/1965,0.072
1/12/1965,0.073
1/03/1966,0.073
1/06/1966,0.073
1/09/1966,0.073
1/12/1966,0.074
1/03/1967,0.075
1/06/1967,0.076
1/09/1967,0.077
1/12/1967,0.077
1/03/1968,0.078
1/06/1968,0.078
1/09/1968,0.078
1/12/1968,0.078
1/03/1969,0.08
1/06/1969,0.08
1/09/1969,0.081
1/12/1969,0.081
1/03/1970,0.082
1/06/1970,0.083
1/09/1970,0.084
1/12/1970,0.085
1/03/1971,0.086
1/06/1971,0.087
1/09/1971,0.09
1/12/1971,0.091
1/03/1972,0.092
1/06/1972,0.093
1/09/1972,0.095
1/12/1972,0.096
1/03/1973,0.097
1/06/1973,0.101
1/09/1973,0.104
1/12/1973,0.108
1/03/1974,0.111
1/06/1974,0.115
1/09/1974,0.121
1/12/1974,0.125
1/03/1975,0.131
1/06/1975,0.135
1/09/1975,0.136
1/12/1975,0.143
1/03/1976,0.148
1/06/1976,0.151
1/09/1976,0.154
1/12/1976,0.164
1/03/1977,0.167
1/06/1977,0.172
1/09/1977,0.175
1/12/1977,0.179
1/03/1978,0.182
1/06/1978,0.185
1/09/1978,0.189
1/12/1978,0.193
1/03/1979,0.196
1/06/1979,0.201
1/09/1979,0.206
1/12/1979,0.212
1/03/1980,0.217
1/06/1980,0.224
1/09/1980,0.227
1/12/1980,0.232
1/03/1981,0.237
1/06/1981,0.242
1/09/1981,0.247
1/12/1981,0.258
1/03/1982,0.263
1/06/1982,0.269
1/09/1982,0.278
1/12/1982,0.287
1/03/1983,0.293
1/06/1983,0.299
1/09/1983,0.304
1/12/1983,0.311
1/03/1984,0.31
1/06/1984,0.311
1/09/1984,0.315
1/12/1984,0.319
1/03/1985,0.323
1/06/1985,0.331
1/09/1985,0.339
1/12/1985,0.346
1/03/1986,0.353
1/06/1986,0.359
1/09/1986,0.369
1/12/1986,0.379
1/03/1987,0.387
1/06/1987,0.392
1/09/1987,0.399
1/12/1987,0.406
1/03/1988,0.413
1/06/1988,0.421
1/09/1988,0.428
1/12/1988,0.437
1/03/1989,0.441
1/06/1989,0.452
1/09/1989,0.462
1/12/1989,0.471
1/03/1990,0.48
1/06/1990,0.487
1/09/1990,0.491
1/12/1990,0.503
1/03/1991,0.503
1/06/1991,0.503
1/09/1991,0.506
1/12/1991,0.511
1/03/1992,0.511
1/06/1992,0.509
1/09/1992,0.51
1/12/1992,0.513
1/03/1993,0.517
1/06/1993,0.519
1/09/1993,0.521
1/12/1993,0.522
