Date,16-18kg,18-20kg,20-22kg,22-24kg
10/01/2000,200,205,205,200
17/01/2000,202,207,205,200
24/01/2000,198,202,200,198
31/01/2000,198,202,198,195
7/02/2000,194,198,192,191
14/02/2000,189,195,188,186
21/02/2000,190,190,188,185
28/02/2000,179,186,187,186
6/03/2000,177,184,186,186
13/03/2000,181,188,186,186
20/03/2000,188,193,190,192
27/03/2000,183,191,190,191
3/04/2000,183,192,190,191
10/04/2000,183,190,189,191
17/04/2000,183,190,188,190
1/05/2000,178,184,183,189
8/05/2000,177,183,182,188
15/05/2000,169,176,177,186
22/05/2000,167,174,176,183
29/05/2000,159,166,169,181
12/06/2000,158,164,169,181
19/06/2000,149,154,164,186
26/06/2000,141,149,162,185
3/07/2000,146,151,161,182
10/07/2000,143,146,159,181
17/07/2000,143,146,159,178
24/07/2000,140,143,147,163
31/07/2000,138,138,144,162
7/08/2000,123,128,138,159
14/08/2000,125,133,139,162
21/08/2000,117,126,132,156
28/08/2000,117,126,132,156
4/09/2000,113,125,132,158
11/09/2000,113,129,133,166
18/09/2000,113,128,132,166
25/09/2000,110,123,128,166
2/10/2000,116,114,126,159
9/10/2000,146,148,152,177
16/10/2000,135,141,146,168
23/10/2000,138,146,151,172
30/10/2000,145,151,154,173
6/11/2000,145,151,154,173
13/11/2000,151,156,157,175
20/11/2000,166,169,170,186
27/11/2000,160,167,175,182
4/12/2000,163,169,176,186
11/12/2000,160,171,179,189
18/12/2000,160,173,179,189
8/01/2001,163,171,179,191
15/01/2001,168,182,187,202
22/01/2001,170,184,187,202
29/01/2001,168,193,199,211
5/02/2001,190,203,204,218
12/02/2001,195,213,233,242
19/02/2001,195,223,233,251
26/02/2001,195,221,231,251
5/03/2001,192,223,238,265
12/03/2001,195,224,239,266
19/03/2001,195,225,241,267
26/03/2001,198,235,250,276
2/04/2001,198,235,254,284
9/04/2001,212,241,255,289
16/04/2001,198,235,245,273
23/04/2001,197,234,238,271
30/04/2001,197,231,236,271
7/05/2001,193,227,233,264
14/05/2001,190,224,232,264
21/05/2001,187,221,230,268
28/05/2001,187,214,224,269
4/06/2001,187,211,225,268
11/06/2001,187,232,243,281
18/06/2001,187,238,264,294
25/06/2001,187,254,280,312
2/07/2001,180,254,281,323
9/07/2001,180,243,276,310
16/07/2001,180,239,268,304
23/07/2001,183,255,277,302
30/07/2001,183,264,286,302
6/08/2001,217,264,293,304
13/08/2001,217,264,319,317
20/08/2001,215,264,313,325
27/08/2001,215,264,314,331
3/09/2001,300,317,323,339
10/09/2001,300,327,338,345
17/09/2001,300,337,339,343
24/09/2001,270,317,325,331
1/10/2001,245,270,293,321
8/10/2001,245,275,293,321
15/10/2001,235,273,294,317
22/10/2001,235,278,289,312
29/10/2001,235,271,287,312
5/11/2001,235,266,289,313
12/11/2001,240,270,289,312
19/11/2001,240,274,291,312
26/11/2001,240,274,291,312
3/12/2001,235,268,284,310
10/12/2001,235,268,286,310
7/01/2002,245,276,283,307
14/01/2002,245,276,286,313
21/01/2002,245,274,286,309
28/01/2002,255,289,288,311
4/02/2002,255,296,294,318
11/02/2002,305,328,314,340
18/02/2002,330,348,325,350
