,Date,16-18kg,18-20kg,20-22kg,22-24kg,CPI (Dec20$),,Real 16-18kg,Real 18-20kg,Real 20-22kg,Real 22-24kg
0,10/01/2000,200,205,205,200,0.595,,336.1344538,344.5378151,344.5378151,336.1344538
1,17/01/2000,202,207,205,200,0.595,,339.4957983,347.8991597,344.5378151,336.1344538
2,24/01/2000,198,202,200,198,0.595,,332.7731092,339.4957983,336.1344538,332.7731092
3,31/01/2000,198,202,198,195,0.595,,332.7731092,339.4957983,332.7731092,327.7310924
4,7/02/2000,194,198,192,191,0.595,,326.0504202,332.7731092,322.6890756,321.0084034
5,14/02/2000,189,195,188,186,0.595,,317.6470588,327.7310924,315.9663866,312.605042
6,21/02/2000,190,190,188,185,0.595,,319.3277311,319.3277311,315.9663866,310.9243697
7,28/02/2000,179,186,187,186,0.595,,300.8403361,312.605042,314.2857143,312.605042
8,6/03/2000,177,184,186,186,0.595,,297.4789916,309.2436975,312.605042,312.605042
9,13/03/2000,181,188,186,186,0.595,,304.2016807,315.9663866,312.605042,312.605042
10,20/03/2000,188,193,190,192,0.595,,315.9663866,324.3697479,319.3277311,322.6890756
11,27/03/2000,183,191,190,191,0.595,,307.5630252,321.0084034,319.3277311,321.0084034
12,3/04/2000,183,192,190,191,0.599,,305.509182,320.5342237,317.1953255,318.8647746
13,10/04/2000,183,190,189,191,0.599,,305.509182,317.1953255,315.5258765,318.8647746
14,17/04/2000,183,190,188,190,0.599,,305.509182,317.1953255,313.8564274,317.1953255
15,1/05/2000,178,184,183,189,0.599,,297.1619366,307.1786311,305.509182,315.5258765
16,8/05/2000,177,183,182,188,0.599,,295.4924875,305.509182,303.8397329,313.8564274
17,15/05/2000,169,176,177,186,0.599,,282.1368948,293.8230384,295.4924875,310.5175292
18,22/05/2000,167,174,176,183,0.599,,278.7979967,290.4841402,293.8230384,305.509182
19,29/05/2000,159,166,169,181,0.599,,265.442404,277.1285476,282.1368948,302.1702838
20,12/06/2000,158,164,169,181,0.599,,263.7729549,273.7896494,282.1368948,302.1702838
21,19/06/2000,149,154,164,186,0.599,,248.7479132,257.0951586,273.7896494,310.5175292
22,26/06/2000,141,149,162,185,0.599,,235.3923205,248.7479132,270.4507513,308.8480801
23,3/07/2000,146,151,161,182,0.622,,234.7266881,242.7652733,258.8424437,292.6045016
24,10/07/2000,143,146,159,181,0.622,,229.903537,234.7266881,255.6270096,290.9967846
25,17/07/2000,143,146,159,178,0.622,,229.903537,234.7266881,255.6270096,286.1736334
26,24/07/2000,140,143,147,163,0.622,,225.0803859,229.903537,236.3344051,262.0578778
27,31/07/2000,138,138,144,162,0.622,,221.8649518,221.8649518,231.511254,260.4501608
28,7/08/2000,123,128,138,159,0.622,,197.7491961,205.7877814,221.8649518,255.6270096
29,14/08/2000,125,133,139,162,0.622,,200.9646302,213.8263666,223.4726688,260.4501608
30,21/08/2000,117,126,132,156,0.622,,188.1028939,202.5723473,212.2186495,250.8038585
31,28/08/2000,117,126,132,156,0.622,,188.1028939,202.5723473,212.2186495,250.8038585
32,4/09/2000,113,125,132,158,0.622,,181.6720257,200.9646302,212.2186495,254.0192926
33,11/09/2000,113,129,133,166,0.622,,181.6720257,207.3954984,213.8263666,266.8810289
34,18/09/2000,113,128,132,166,0.622,,181.6720257,205.7877814,212.2186495,266.8810289
35,25/09/2000,110,123,128,166,0.622,,176.8488746,197.7491961,205.7877814,266.8810289
36,2/10/2000,116,114,126,159,0.624,,185.8974359,182.6923077,201.9230769,254.8076923
37,9/10/2000,146,148,152,177,0.624,,233.974359,237.1794872,243.5897436,283.6538462
38,16/10/2000,135,141,146,168,0.624,,216.3461538,225.9615385,233.974359,269.2307692
39,23/10/2000,138,146,151,172,0.624,,221.1538462,233.974359,241.9871795,275.6410256
40,30/10/2000,145,151,154,173,0.624,,232.3717949,241.9871795,246.7948718,277.2435897
41,6/11/2000,145,151,154,173,0.624,,232.3717949,241.9871795,246.7948718,277.2435897
42,13/11/2000,151,156,157,175,0.624,,241.9871795,250,251.6025641,280.4487179
43,20/11/2000,166,169,170,186,0.624,,266.025641,270.8333333,272.4358974,298.0769231
