Date ,WTFESY,
6/01/1999,,
13/01/1999,160.00,
20/01/1999,157.00,
27/01/1999,153.00,
3/02/1999,,
10/02/1999,150.00,
17/02/1999,,
24/02/1999,,
3/03/1999,,
10/03/1999,153.00,
17/03/1999,153.00,
24/03/1999,158.00,
31/03/1999,158.00,
7/04/1999,158.00,
14/04/1999,160.00,
21/04/1999,160.00,
28/04/1999,158.00,
5/05/1999,158.00,
12/05/1999,160.00,
19/05/1999,160.00,
26/05/1999,,
2/06/1999,160.00,
9/06/1999,,
16/06/1999,160.00,
23/06/1999,160.00,
30/06/1999,160.00,
7/07/1999,160.00,
14/07/1999,160.00,
21/07/1999,158.00,
28/07/1999,156.00,
4/08/1999,156.00,
11/08/1999,155.00,
18/08/1999,155.00,
25/08/1999,157.00,
1/09/1999,157.00,
8/09/1999,155.00,
15/09/1999,156.00,
22/09/1999,156.00,
29/09/1999,156.00,
6/10/1999,158.00,
13/10/1999,158.00,
20/10/1999,158.00,
27/10/1999,156.00,
3/11/1999,151.00,
10/11/1999,158.00,
17/11/1999,148.00,
24/11/1999,145.00,
1/12/1999,140.00,
8/12/1999,144.00,
15/12/1999,144.00,
22/12/1999,143.00,
29/12/1999,143.00,
5/01/2000,,
12/01/2000,,
19/01/2000,145.00,
26/01/2000,148.00,
2/02/2000,153.00,
9/02/2000,151.00,
16/02/2000,152.00,
23/02/2000,155.00,
1/03/2000,152.00,
8/03/2000,153.00,
15/03/2000,153.00,
22/03/2000,154.00,
29/03/2000,154.00,
5/04/2000,154.00,
12/04/2000,154.00,
19/04/2000,154.00,
26/04/2000,154.00,
3/05/2000,152.00,
10/05/2000,,
17/05/2000,158.00,
24/05/2000,160.00,
31/05/2000,160.00,
7/06/2000,160.00,
14/06/2000,160.00,
21/06/2000,165.00,
28/06/2000,165.00,
5/07/2000,164.00,
12/07/2000,162.00,
19/07/2000,162.00,
26/07/2000,162.00,
2/08/2000,162.00,
9/08/2000,164.00,
16/08/2000,160.00,
23/08/2000,158.00,
30/08/2000,154.00,
6/09/2000,155.00,
13/09/2000,160.00,
20/09/2000,163.00,
27/09/2000,168.00,
4/10/2000,162.00,
11/10/2000,160.00,
18/10/2000,163.00,
25/10/2000,165.00,
1/11/2000,168.00,
8/11/2000,169.00,
15/11/2000,175.00,
22/11/2000,178.00,
29/11/2000,180.00,
6/12/2000,180.00,
13/12/2000,180.00,
20/12/2000,180.00,
27/12/2000,180.00,
3/01/2001,180.00,
10/01/2001,180.00,
17/01/2001,180.00,
24/01/2001,180.00,
31/01/2001,180.00,
7/02/2001,180.00,
14/02/2001,183.00,
21/02/2001,160.00,
28/02/2001,160.00,
7/03/2001,163.00,
14/03/2001,166.00,
21/03/2001,163.00,
28/03/2001,165.00,
4/04/2001,168.00,
11/04/2001,173.00,
18/04/2001,171.00,
25/04/2001,179.00,
2/05/2001,179.00,
9/05/2001,179.00,
17/05/2001,178.00,
23/05/2001,180.00,
30/05/2001,182.00,
6/06/2001,183.00,
13/06/2001,185.00,
20/06/2001,186.00,
27/06/2001,194.00,
4/07/2001,193.00,
11/07/2001,204.00,
18/07/2001,206.00,
25/07/2001,208.00,
1/08/2001,209.00,
8/08/2001,193.00,
15/08/2001,193.00,
22/08/2001,190.00,
29/08/2001,193.00,
5/09/2001,193.00,
12/09/2001,193.00,
19/09/2001,190.00,
26/09/2001,193.00,
3/10/2001,203.00,
10/10/2001,206.00,
17/10/2001,196.00,
24/10/2001,195.00,
31/10/2001,203.00,
6/11/2001,210.00,
13/11/2001,210.00,
20/11/2001,203.00,
27/11/2001,195.00,
4/12/2001,195.00,
11/12/2001,205.00,
18/12/2001,210.00,
25/12/2001,,
1/01/2002,,
8/01/2002,215.00,
15/01/2002,220.00,
22/01/2002,225.00,
29/01/2002,230.00,
6/02/2002,225.00,
13/02/2002,220.00,
20/02/2002,230.00,
27/02/2002,228.00,
6/03/2002,225.00,
13/03/2002,225.00,
20/03/2002,217.00,
27/03/2002,220.00,
3/04/2002,218.00,
10/04/2002,216.00,
17/04/2002,224.00,
24/04/2002,222.00,
1/05/2002,220.00,
8/05/2002,220.00,
15/05/2002,222.00,
22/05/2002,222.00,
29/05/2002,222.00,
5/06/2002,224.00,
12/06/2002,225.00,
19/06/2002,223.00,
26/06/2002,221.00,
3/07/2002,223.00,
10/07/2002,225.00,
17/07/2002,228.00,
24/07/2002,250.00,
31/07/2002,252.00,
7/08/2002,255.00,
14/08/2002,270.00,
21/08/2002,285.00,
28/08/2002,310.00,
4/09/2002,310.00,
11/09/2002,320.00,
18/09/2002,325.00,
25/09/2002,325.00,
2/10/2002,330.00,
9/10/2002,340.00,
16/10/2002,340.00,
23/10/2002,370.00,
30/10/2002,360.00,
6/11/2002,370.00,
13/11/2002,370.00,
20/11/2002,335.00,
27/11/2002,340.00,
4/12/2002,330.00,
11/12/2002,335.00,
18/12/2002,342.00,
25/12/2002,,
1/01/2003,,
8/01/2003,342.00,
15/01/2003,335.00,
22/01/2003,355.00,
29/01/2003,340.00,
5/02/2003,335.00,
12/02/2003,330.00,
19/02/2003,330.00,
26/02/2003,325.00,
5/03/2003,320.00,
