Date,OTH 18-20kg,OTH 20-22kg,OTH 22-24kg,WTFESY,Unnamed: 0,18-22kg,12-18kg,22+kg,16-22kg,0-18kg,18-24kg
31/01/2000,204,202,198.25,145.25,1.5,198,186,189.5,145.25,197.75,55.25
29/02/2000,192.25,188.75,187,152.75,5.5,182.5,162.5,178,120.5,167.75,48.75
31/03/2000,189,188,188.75,153.2,10,179.4,167.6,174.6,131.6,155,56.6
30/04/2000,190.6666667,189,190.6666667,154,14.5,172.75,165.75,163.75,128.75,160.25,66.25
31/05/2000,176.6,177.4,185.4,157,18.5,159.75,148.25,159.5,108.25,138,73.5
30/06/2000,155.6666667,165,184,162.5,23,136.8,115.6,140.6,89,102.8,68.8
31/07/2000,144.8,154,173.2,162.5,27.5,148.5,130.25,147,98,109.75,80.5
31/08/2000,128.25,135.25,158.25,159.6,32,140,131,146,88.8,95.6,70.6
30/09/2000,126.25,131.25,164,161.5,36.5,134,127.25,155.75,82.5,112.25,67.25
31/10/2000,140,145.8,169.8,162.5,40.5,143,135,154.25,98.25,144,60.25
30/11/2000,160.75,164,179,174,45,170.8,156.6,182.4,112,152.6,73.2
31/12/2000,171,178,188,180,49.5,182.875,159.25,195.875,117.5,158.625,73.75
31/01/2001,182.5,188,201.5,180,53.5,191,166.5,195.25,120.25,155,63
28/02/2001,215,225.25,240.5,170.75,57.5,234.5,193,250.75,151.5,165.75,78.75
31/03/2001,226.75,242,268.5,164.25,62,246.8,199.4,279.6,166.6,176.4,98.4
30/04/2001,235.2,245.6,277.6,172.75,66.5,238.25,196.5,266.75,176.5,186.25,122.25
31/05/2001,221.5,229.75,266.25,179.6,71,220.8,180.6,264,159.8,176.4,132.4
30/06/2001,233.75,253,288.75,187,75.5,278.75,216.25,311.5,185.5,194,156.75
31/07/2001,251,277.6,308.2,202.75,79.5,282.25,224,309.25,198.5,194.75,164.5
31/08/2001,264,309.75,319.25,195.6,84,320.6,275,349.4,212.8,223.4,175.8
30/09/2001,324.5,331.25,339.5,192.25,88.5,329.25,285.75,357.25,244.25,255.25,182
31/10/2001,273.4,291.2,316.6,200.6,92.5,279,236,307.5,187.25,244.5,149
30/11/2001,271,290,312.25,204.5,97,279.4,246.2,298.4,200,250.8,140.2
31/12/2001,268,285,310,205.4166667,101.5,278.75,247.75,293,218.75,248,138.5
31/01/2002,278.75,285.75,310,220.6666667,106,290.6,250.8,294.6,198.2,228.4,136.2
28/02/2002,331.25,314.5,339.5,225.75,110.5,361.25,320.5,361.5,275.5,302.75,179.25
31/03/2002,347.5,331.25,348.5,221.75,114.5,342.75,316.25,348.75,281.25,292,182
30/04/2002,310,314.8,328.4,220,118.5,321.75,289.5,318,256,287,194.5
31/05/2002,297.5,287.5,294.5,221.2,123,286.8,252.8,279.2,215.2,259.2,182.6
30/06/2002,279.5,264.25,276.5,223.25,127.5,299.75,239.25,285.75,210.5,214.25,192.5
31/07/2002,300.4,288.2,306.4,235.6,131.5,317,255.5,313,233.75,200,178.25
31/08/2002,308.5,326.75,342.75,280,136,357.8,301.2,364.2,266.6,214.8,152.4
30/09/2002,344,362,383.2,320,140.5,392.5,336,392.5,302.25,261,162.5
31/10/2002,325,356,385,348,145,331,272,349.2,222.4,199.4,116.8
30/11/2002,263.5,305,335.75,353.75,149.5,299.5,228.75,314.75,219.5,170.75,111.5
31/12/2002,272.6666667,321,354.6666667,337.25,153.5,338.75,278,333.5,248.5833333,209.75,136
31/01/2003,332.5,336.5,360.5,342.8,158,343.6,279.3,349.2,269.3333333,229.5,159
28/02/2003,329.5,334.75,364.5,330,162.5,360.5,303.25,374,291.5,237,164.25
31/03/2003,390,400,411.2,305,166.5,411.5,364,418.5,348,319.25,200.75
30/04/2003,380.5,390.25,418,276.4,170.5,396.25,354.75,404.25,342.75,332.5,214.5
31/05/2003,356.75,373.25,405.75,291.25,175,379.6,343.4,396,318.6,328.6,192.8
30/06/2003,392,392,408.8,297.25,179.5,417.75,362.75,421.75,360.5,343.5,203.75
31/07/2003,409.25,404.75,417.5,262,184,444.8,386.6,439.8,365.6,365.8,234.2
31/08/2003,425.75,431.75,434.75,220,188.5,459.25,388,459.25,375.5,385.5,249.5
30/09/2003,398.8,398.8,402,226.25,192.5,402.75,357.75,395.75,329,385.25,238.75
31/10/2003,358,359.25,370.75,213.4,197,362.8,355.4,351.2,325,390,225.6
30/11/2003,338.5,335.5,345.5,210.5,201.5,342.25,345.75,325.75,281.25,384.25,195.25
31/12/2003,333,327.3333333,313,207.6,205.5,346.5,328.75,319.75,289,368.9166667,200.25
31/01/2004,354.25,349.25,331.75,206.75,210,364.2,339.9,341.2,292.2,364.6666667,193.8
29/02/2004,365.5,358.5,339.75,205.25,214.5,375.25,370,350,321.5,366.25,203
31/03/2004,355.4,350,333.6,215.4,218.5,363.75,348.75,333,298.75,368.75,199.75
30/04/2004,346.25,340,318,221.25,223,337.6,303,314.4,273.6,315,184
31/05/2004,359,349.2,327,231.25,227.5,374,309.5,354.75,286.25,315,191
30/06/2004,433.25,428.25,395.5,228.2,231.5,462.75,356.5,455.5,356.25,351.5,216.75
31/07/2004,490.5,486.75,469.75,211.25,236,513.2,373.2,500.8,378,389.6,239.2
31/08/2004,470.4,467.6,459.2,209,240.5,484,351,483.5,337.75,384,225
30/09/2004,407.5,409.5,404.75,200.6,245,403.4,331.6,410.8,293.6,345.8,201.2
