,Date,OTH 18-20kg,OTH 20-22kg,OTH 22-24kg,WTFESY,Trade Lamb 18-22kg,Light Lamb 12-18kg,Heavy Lamb 22+kg,Merino Lamb 16-22kg,Restocker/feeder lamb 0-18kg,Mutton 18-24kg,CPI (Dec20$),,OTH 18-20kg,OTH 20-22kg,OTH 22-24kg,WTFESY,Trade Lamb 18-22kg,Light Lamb 12-18kg,Heavy Lamb 22+kg,Merino Lamb 16-22kg,Restocker/feeder lamb 0-18kg,Mutton 18-24kg
0,31/01/2000,204,202,198.25,145.25,198,186,189.5,145.25,197.75,55.25,0.595,,121.38,120.19,117.95875,86.42375,117.81,110.67,112.7525,86.42375,117.66125,32.87375
1,29/02/2000,192.25,188.75,187,152.75,182.5,162.5,178,120.5,167.75,48.75,0.595,,114.38875,112.30625,111.265,90.88625,108.5875,96.6875,105.91,71.6975,99.81125,29.00625
2,31/03/2000,189,188,188.75,153.2,179.4,167.6,174.6,131.6,155,56.6,0.595,,112.455,111.86,112.30625,91.154,106.743,99.722,103.887,78.302,92.225,33.677
3,30/04/2000,190.6666667,189,190.6666667,154,172.75,165.75,163.75,128.75,160.25,66.25,0.599,,113.4466667,112.455,113.4466667,91.63,102.78625,98.62125,97.43125,76.60625,95.34875,39.41875
4,31/05/2000,176.6,177.4,185.4,157,159.75,148.25,159.5,108.25,138,73.5,0.599,,105.077,105.553,110.313,93.415,95.05125,88.20875,94.9025,64.40875,82.11,43.7325
5,30/06/2000,155.6666667,165,184,162.5,136.8,115.6,140.6,89,102.8,68.8,0.599,,92.62166669,98.175,109.48,96.6875,81.396,68.782,83.657,52.955,61.166,40.936
6,31/07/2000,144.8,154,173.2,162.5,148.5,130.25,147,98,109.75,80.5,0.622,,86.156,91.63,103.054,96.6875,88.3575,77.49875,87.465,58.31,65.30125,47.8975
7,31/08/2000,128.25,135.25,158.25,159.6,140,131,146,88.8,95.6,70.6,0.622,,76.30875,80.47375,94.15875,94.962,83.3,77.945,86.87,52.836,56.882,42.007
8,30/09/2000,126.25,131.25,164,161.5,134,127.25,155.75,82.5,112.25,67.25,0.622,,75.11875,78.09375,97.58,96.0925,79.73,75.71375,92.67125,49.0875,66.78875,40.01375
9,31/10/2000,140,145.8,169.8,162.5,143,135,154.25,98.25,144,60.25,0.624,,83.3,86.751,101.031,96.6875,85.085,80.325,91.77875,58.45875,85.68,35.84875
10,30/11/2000,160.75,164,179,174,170.8,156.6,182.4,112,152.6,73.2,0.624,,95.64625,97.58,106.505,103.53,101.626,93.177,108.528,66.64,90.797,43.554
11,31/12/2000,171,178,188,180,182.875,159.25,195.875,117.5,158.625,73.75,0.624,,101.745,105.91,111.86,107.1,108.810625,94.75375,116.545625,69.9125,94.381875,43.88125
12,31/01/2001,182.5,188,201.5,180,191,166.5,195.25,120.25,155,63,0.631,,108.5875,111.86,119.8925,107.1,113.645,99.0675,116.17375,71.54875,92.225,37.485
13,28/02/2001,215,225.25,240.5,170.75,234.5,193,250.75,151.5,165.75,78.75,0.631,,127.925,134.02375,143.0975,101.59625,139.5275,114.835,149.19625,90.1425,98.62125,46.85625
14,31/03/2001,226.75,242,268.5,164.25,246.8,199.4,279.6,166.6,176.4,98.4,0.631,,134.91625,143.99,159.7575,97.72875,146.846,118.643,166.362,99.127,104.958,58.548
15,30/04/2001,235.2,245.6,277.6,172.75,238.25,196.5,266.75,176.5,186.25,122.25,0.636,,139.944,146.132,165.172,102.78625,141.75875,116.9175,158.71625,105.0175,110.81875,72.73875
16,31/05/2001,221.5,229.75,266.25,179.6,220.8,180.6,264,159.8,176.4,132.4,0.636,,131.7925,136.70125,158.41875,106.862,131.376,107.457,157.08,95.081,104.958,78.778
17,30/06/2001,233.75,253,288.75,187,278.75,216.25,311.5,185.5,194,156.75,0.636,,139.08125,150.535,171.80625,111.265,165.85625,128.66875,185.3425,110.3725,115.43,93.26625
18,31/07/2001,251,277.6,308.2,202.75,282.25,224,309.25,198.5,194.75,164.5,0.637,,149.345,165.172,183.379,120.63625,167.93875,133.28,184.00375,118.1075,115.87625,97.8775
19,31/08/2001,264,309.75,319.25,195.6,320.6,275,349.4,212.8,223.4,175.8,0.637,,157.08,184.30125,189.95375,116.382,190.757,163.625,207.893,126.616,132.923,104.601
20,30/09/2001,324.5,331.25,339.5,192.25,329.25,285.75,357.25,244.25,255.25,182,0.637,,193.0775,197.09375,202.0025,114.38875,195.90375,170.02125,212.56375,145.32875,151.87375,108.29
21,31/10/2001,273.4,291.2,316.6,200.6,279,236,307.5,187.25,244.5,149,0.643,,162.673,173.264,188.377,119.357,166.005,140.42,182.9625,111.41375,145.4775,88.655
22,30/11/2001,271,290,312.25,204.5,279.4,246.2,298.4,200,250.8,140.2,0.643,,161.245,172.55,185.78875,121.6775,166.243,146.489,177.548,119,149.226,83.419
23,31/12/2001,268,285,310,205.4166667,278.75,247.75,293,218.75,248,138.5,0.643,,159.46,169.575,184.45,122.2229167,165.85625,147.41125,174.335,130.15625,147.56,82.4075
24,31/01/2002,278.75,285.75,310,220.6666667,290.6,250.8,294.6,198.2,228.4,136.2,0.649,,165.85625,170.02125,184.45,131.2966667,172.907,149.226,175.287,117.929,135.898,81.039
25,28/02/2002,331.25,314.5,339.5,225.75,361.25,320.5,361.5,275.5,302.75,179.25,0.649,,197.09375,187.1275,202.0025,134.32125,214.94375,190.6975,215.0925,163.9225,180.13625,106.65375
26,31/03/2002,347.5,331.25,348.5,221.75,342.75,316.25,348.75,281.25,292,182,0.649,,206.7625,197.09375,207.3575,131.94125,203.93625,188.16875,207.50625,167.34375,173.74,108.29
27,30/04/2002,310,314.8,328.4,220,321.75,289.5,318,256,287,194.5,0.654,,184.45,187.306,195.398,130.9,191.44125,172.2525,189.21,152.32,170.765,115.7275
28,31/05/2002,297.5,287.5,294.5,221.2,286.8,252.8,279.2,215.2,259.2,182.6,0.654,,177.0125,171.0625,175.2275,131.614,170.646,150.416,166.124,128.044,154.224,108.647
29,30/06/2002,279.5,264.25,276.5,223.25,299.75,239.25,285.75,210.5,214.25,192.5,0.654,,166.3025,157.22875,164.5175,132.83375,178.35125,142.35375,170.02125,125.2475,127.47875,114.5375
30,31/07/2002,300.4,288.2,306.4,235.6,317,255.5,313,233.75,200,178.25,0.658,,178.738,171.479,182.308,140.182,188.615,152.0225,186.235,139.08125,119,106.05875
31,31/08/2002,308.5,326.75,342.75,280,357.8,301.2,364.2,266.6,214.8,152.4,0.658,,183.5575,194.41625,203.93625,166.6,212.891,179.214,216.699,158.627,127.806,90.678
32,30/09/2002,344,362,383.2,320,392.5,336,392.5,302.25,261,162.5,0.658,,204.68,215.39,228.004,190.4,233.5375,199.92,233.5375,179.83875,155.295,96.6875
33,31/10/2002,325,356,385,348,331,272,349.2,222.4,199.4,116.8,0.662,,193.375,211.82,229.075,207.06,196.945,161.84,207.774,132.328,118.643,69.496
34,30/11/2002,263.5,305,335.75,353.75,299.5,228.75,314.75,219.5,170.75,111.5,0.662,,156.7825,181.475,199.77125,210.48125,178.2025,136.10625,187.27625,130.6025,101.59625,66.3425
35,31/12/2002,272.6666667,321,354.6666667,337.25,338.75,278,333.5,248.5833333,209.75,136,0.662,,162.2366667,190.995,211.0266667,200.66375,201.55625,165.41,198.4325,147.9070833,124.80125,80.92
36,31/01/2003,332.5,336.5,360.5,342.8,343.6,279.3,349.2,269.3333333,229.5,159,0.671,,197.8375,200.2175,214.4975,203.966,204.442,166.1835,207.774,160.2533333,136.5525,94.605
37,28/02/2003,329.5,334.75,364.5,330,360.5,303.25,374,291.5,237,164.25,0.671,,196.0525,199.17625,216.8775,196.35,214.4975,180.43375,222.53,173.4425,141.015,97.72875
38,31/03/2003,390,400,411.2,305,411.5,364,418.5,348,319.25,200.75,0.671,,232.05,238,244.664,181.475,244.8425,216.58,249.0075,207.06,189.95375,119.44625
39,30/04/2003,380.5,390.25,418,276.4,396.25,354.75,404.25,342.75,332.5,214.5,0.671,,226.3975,232.19875,248.71,164.458,235.76875,211.07625,240.52875,203.93625,197.8375,127.6275
40,31/05/2003,356.75,373.25,405.75,291.25,379.6,343.4,396,318.6,328.6,192.8,0.671,,212.26625,222.08375,241.42125,173.29375,225.862,204.323,235.62,189.567,195.517,114.716
41,30/06/2003,392,392,408.8,297.25,417.75,362.75,421.75,360.5,343.5,203.75,0.671,,233.24,233.24,243.236,176.86375,248.56125,215.83625,250.94125,214.4975,204.3825,121.23125
42,31/07/2003,409.25,404.75,417.5,262,444.8,386.6,439.8,365.6,365.8,234.2,0.675,,243.50375,240.82625,248.4125,155.89,264.656,230.027,261.681,217.532,217.651,139.349
43,31/08/2003,425.75,431.75,434.75,220,459.25,388,459.25,375.5,385.5,249.5,0.675,,253.32125,256.89125,258.67625,130.9,273.25375,230.86,273.25375,223.4225,229.3725,148.4525
44,30/09/2003,398.8,398.8,402,226.25,402.75,357.75,395.75,329,385.25,238.75,0.675,,237.286,237.286,239.19,134.61875,239.63625,212.86125,235.47125,195.755,229.22375,142.05625
45,31/10/2003,358,359.25,370.75,213.4,362.8,355.4,351.2,325,390,225.6,0.678,,213.01,213.75375,220.59625,126.973,215.866,211.463,208.964,193.375,232.05,134.232
46,30/11/2003,338.5,335.5,345.5,210.5,342.25,345.75,325.75,281.25,384.25,195.25,0.678,,201.4075,199.6225,205.5725,125.2475,203.63875,205.72125,193.82125,167.34375,228.62875,116.17375
47,31/12/2003,333,327.3333333,313,207.6,346.5,328.75,319.75,289,368.9166667,200.25,0.678,,198.135,194.7633333,186.235,123.522,206.1675,195.60625,190.25125,171.955,219.5054167,119.14875
48,31/01/2004,354.25,349.25,331.75,206.75,364.2,339.9,341.2,292.2,364.6666667,193.8,0.684,,210.77875,207.80375,197.39125,123.01625,216.699,202.2405,203.014,173.859,216.9766667,115.311
49,29/02/2004,365.5,358.5,339.75,205.25,375.25,370,350,321.5,366.25,203,0.684,,217.4725,213.3075,202.15125,122.12375,223.27375,220.15,208.25,191.2925,217.91875,120.785
50,31/03/2004,355.4,350,333.6,215.4,363.75,348.75,333,298.75,368.75,199.75,0.684,,211.463,208.25,198.492,128.163,216.43125,207.50625,198.135,177.75625,219.40625,118.85125
51,30/04/2004,346.25,340,318,221.25,337.6,303,314.4,273.6,315,184,0.688,,206.01875,202.3,189.21,131.64375,200.872,180.285,187.068,162.792,187.425,109.48
52,31/05/2004,359,349.2,327,231.25,374,309.5,354.75,286.25,315,191,0.688,,213.605,207.774,194.565,137.59375,222.53,184.1525,211.07625,170.31875,187.425,113.645
53,30/06/2004,433.25,428.25,395.5,228.2,462.75,356.5,455.5,356.25,351.5,216.75,0.688,,257.78375,254.80875,235.3225,135.779,275.33625,212.1175,271.0225,211.96875,209.1425,128.96625
54,31/07/2004,490.5,486.75,469.75,211.25,513.2,373.2,500.8,378,389.6,239.2,0.69,,291.8475,289.61625,279.50125,125.69375,305.354,222.054,297.976,224.91,231.812,142.324
55,31/08/2004,470.4,467.6,459.2,209,484,351,483.5,337.75,384,225,0.69,,279.888,278.222,273.224,124.355,287.98,208.845,287.6825,200.96125,228.48,133.875
56,30/09/2004,407.5,409.5,404.75,200.6,403.4,331.6,410.8,293.6,345.8,201.2,0.69,,242.4625,243.6525,240.82625,119.357,240.023,197.302,244.426,174.692,205.751,119.714
57,31/10/2004,348.25,348.25,355,197.75,336.75,295.5,336.5,257.25,342.5,176.25,0.695,,207.20875,207.20875,211.225,117.66125,200.36625,175.8225,200.2175,153.06375,203.7875,104.86875
58,30/11/2004,335.6,334.2,338.4,188.75,352,322.75,333.25,275.5,370,179.5,0.695,,199.682,198.849,201.348,112.30625,209.44,192.03625,198.28375,163.9225,220.15,106.8025
59,31/12/2004,329,327,335.5,181.55,358.2,342.3,336.4,282.2,392.7,179.8,0.695,,195.755,194.565,199.6225,108.02225,213.129,203.6685,200.158,167.909,233.6565,106.981
60,31/01/2005,336,331.25,326.5,175.5833333,344.25,324.25,324.25,278.75,371,174.25,0.701,,199.92,197.09375,194.2675,104.4720833,204.82875,192.92875,192.92875,165.85625,220.745,103.67875
61,28/02/2005,344.75,328.75,315.25,173.25,338.75,318.25,312.5,269.25,357.75,166.5,0.701,,205.12625,195.60625,187.57375,103.08375,201.55625,189.35875,185.9375,160.20375,212.86125,99.0675
62,31/03/2005,342.25,326,305,178.8,325.8,309,297.4,271.2,332.8,164.2,0.701,,203.63875,193.97,181.475,106.386,193.851,183.855,176.953,161.364,198.016,97.699
63,30/04/2005,333.75,318.25,298.5,183,318.75,277.5,293,251.5,317,152.75,0.705,,198.58125,189.35875,177.6075,108.885,189.65625,165.1125,174.335,149.6425,188.615,90.88625
64,31/05/2005,339.4,319.2,300.2,212.5,330,274,297.5,260.25,323.25,169,0.705,,201.943,189.924,178.619,126.4375,196.35,163.03,177.0125,154.84875,192.33375,100.555
65,30/06/2005,352.75,338.25,314.25,223,380,312.8,341.6,303,350.2,188,0.705,,209.88625,201.25875,186.97875,132.685,226.1,186.116,203.252,180.285,208.369,111.86
66,31/07/2005,374,370.25,355,208.25,410,349,388.75,336,363.5,231.25,0.712,,222.53,220.29875,211.225,123.90875,243.95,207.655,231.30625,199.92,216.2825,137.59375
67,31/08/2005,394.4,390.8,371.4,199.2,393.25,322.75,371,317,340.25,214.25,0.712,,234.668,232.526,220.983,118.524,233.98375,192.03625,220.745,188.615,202.44875,127.47875
68,30/09/2005,387.75,391.75,381.75,189.5,401.2,324.8,396.8,307.8,349,192.8,0.712,,230.71125,233.09125,227.14125,112.7525,238.714,193.256,236.096,183.141,207.655,114.716
69,31/10/2005,352.6,349,343.6,194.5,348.75,295,339.5,251.5,328.75,171.25,0.715,,209.797,207.655,204.442,115.7275,207.50625,175.525,202.0025,149.6425,195.60625,101.89375
70,30/11/2005,336.5,333.5,330.25,183.6,347.75,313.25,338.5,244.25,325.75,169,0.715,,200.2175,198.4325,196.49875,109.242,206.91125,186.38375,201.4075,145.32875,193.82125,100.555
71,31/12/2005,338,338,337.5,170.8666667,349.4,315.5,343.2,246.5,340.7,166.7,0.715,,201.11,201.11,200.8125,101.6656667,207.893,187.7225,204.204,146.6675,202.7165,99.1865
72,31/01/2006,337,336.75,329.25,175.6666667,341,295.5,340.5,244.5,330.25,150.5,0.721,,200.515,200.36625,195.90375,104.5216667,202.895,175.8225,202.5975,145.4775,196.49875,89.5475
73,28/02/2006,346,351,345.25,184.25,366,328,356.5,280.5,340.5,156.5,0.721,,205.87,208.845,205.42375,109.62875,217.77,195.16,212.1175,166.8975,202.5975,93.1175
74,31/03/2006,342.5,343.25,339.5,190,341.4,305,337,272.2,325.6,162.8,0.721,,203.7875,204.23375,202.0025,113.05,203.133,181.475,200.515,161.959,193.732,96.866
75,30/04/2006,339.75,339.75,336.75,193,336.75,305.25,328.75,280.75,321.25,177.25,0.733,,202.15125,202.15125,200.36625,114.835,200.36625,181.62375,195.60625,167.04625,191.14375,105.46375
76,31/05/2006,343.8,343,339.6,198.2,343,297.75,329.75,285.75,319.75,188.25,0.733,,204.561,204.085,202.062,117.929,204.085,177.16125,196.20125,170.02125,190.25125,112.00875
77,30/06/2006,350.25,349.75,349.5,220,355,300.6,341.8,291.8,317.2,193,0.733,,208.39875,208.10125,207.9525,130.9,211.225,178.857,203.371,173.621,188.734,114.835
78,31/07/2006,364.6,363.2,360,218,382.75,309.5,355.75,311.5,349.25,214.75,0.74,,216.937,216.104,214.2,129.71,227.73625,184.1525,211.67125,185.3425,207.80375,127.77625
79,31/08/2006,354.25,355.5,350.5,219,349,254.6,320.4,245,301.2,167.8,0.74,,210.77875,211.5225,208.5475,130.305,207.655,151.487,190.638,145.775,179.214,99.841
80,30/09/2006,314.25,311.5,314.25,243.75,307.5,216.25,292.5,191.75,274.25,126,0.74,,186.97875,185.3425,186.97875,145.03125,182.9625,128.66875,174.0375,114.09125,163.17875,74.97
81,31/10/2006,307.6,303.6,305,317.5,291.75,192.5,293,153.25,191.75,63,0.739,,183.022,180.642,181.475,188.9125,173.59125,114.5375,174.335,91.18375,114.09125,37.485
82,30/11/2006,317.5,311.5,321.25,329,304.2,219.2,305.2,178.4,209.2,66.4,0.739,,188.9125,185.3425,191.14375,195.755,180.999,130.424,181.594,106.148,124.474,39.508
83,31/12/2006,321,318,325,322.9166667,304.875,222.75,297.375,184.5,205.375,61.375,0.739,,190.995,189.21,193.375,192.1354167,181.400625,132.53625,176.938125,109.7775,122.198125,36.518125
84,31/01/2007,327.5,325.5,326,321.0666667,321.25,263.25,312,204.75,239.5,111,0.739,,194.8625,193.6725,193.97,191.0346667,191.14375,156.63375,185.64,121.82625,142.5025,66.045
85,28/02/2007,331,331,327,314.75,336.25,272.75,334,244.75,266.25,138.25,0.739,,196.945,196.945,194.565,187.27625,200.06875,162.28625,198.73,145.62625,158.41875,82.25875
