Date,WTFESY
6/01/1999,
13/01/1999,160
20/01/1999,157
27/01/1999,153
3/02/1999,151.5
10/02/1999,150
17/02/1999,150.75
24/02/1999,151.5
3/03/1999,152.25
10/03/1999,153
17/03/1999,153
24/03/1999,158
31/03/1999,158
7/04/1999,158
14/04/1999,160
21/04/1999,160
28/04/1999,158
5/05/1999,158
12/05/1999,160
19/05/1999,160
26/05/1999,160
2/06/1999,160
9/06/1999,160
16/06/1999,160
23/06/1999,160
30/06/1999,160
7/07/1999,160
14/07/1999,160
21/07/1999,158
28/07/1999,156
4/08/1999,156
11/08/1999,155
18/08/1999,155
25/08/1999,157
1/09/1999,157
8/09/1999,155
15/09/1999,156
22/09/1999,156
29/09/1999,156
6/10/1999,158
13/10/1999,158
20/10/1999,158
27/10/1999,156
3/11/1999,151
10/11/1999,158
17/11/1999,148
24/11/1999,145
1/12/1999,140
8/12/1999,144
15/12/1999,144
22/12/1999,143
29/12/1999,143
5/01/2000,143.6666667
12/01/2000,144.3333333
19/01/2000,145
26/01/2000,148
2/02/2000,153
9/02/2000,151
16/02/2000,152
23/02/2000,155
1/03/2000,152
8/03/2000,153
15/03/2000,153
22/03/2000,154
29/03/2000,154
5/04/2000,154
12/04/2000,154
19/04/2000,154
26/04/2000,154
3/05/2000,152
10/05/2000,155
17/05/2000,158
24/05/2000,160
31/05/2000,160
7/06/2000,160
14/06/2000,160
21/06/2000,165
28/06/2000,165
5/07/2000,164
12/07/2000,162
19/07/2000,162
26/07/2000,162
2/08/2000,162
9/08/2000,164
16/08/2000,160
23/08/2000,158
30/08/2000,154
6/09/2000,155
13/09/2000,160
20/09/2000,163
27/09/2000,168
4/10/2000,162
11/10/2000,160
18/10/2000,163
25/10/2000,165
1/11/2000,168
8/11/2000,169
15/11/2000,175
22/11/2000,178
29/11/2000,180
6/12/2000,180
13/12/2000,180
20/12/2000,180
27/12/2000,180
3/01/2001,180
10/01/2001,180
17/01/2001,180
24/01/2001,180
31/01/2001,180
7/02/2001,180
14/02/2001,183
21/02/2001,160
28/02/2001,160
7/03/2001,163
14/03/2001,166
21/03/2001,163
28/03/2001,165
4/04/2001,168
11/04/2001,173
18/04/2001,171
25/04/2001,179
2/05/2001,179
9/05/2001,179
17/05/2001,178
23/05/2001,180
30/05/2001,182
6/06/2001,183
13/06/2001,185
20/06/2001,186
27/06/2001,194
4/07/2001,193
11/07/2001,204
18/07/2001,206
25/07/2001,208
1/08/2001,209
8/08/2001,193
15/08/2001,193
22/08/2001,190
29/08/2001,193
5/09/2001,193
12/09/2001,193
19/09/2001,190
26/09/2001,193
3/10/2001,203
10/10/2001,206
17/10/2001,196
24/10/2001,195
31/10/2001,203
6/11/2001,210
13/11/2001,210
20/11/2001,203
27/11/2001,195
4/12/2001,195
11/12/2001,205
18/12/2001,210
25/12/2001,211.6666667
1/01/2002,213.3333333
8/01/2002,215
15/01/2002,220
22/01/2002,225
29/01/2002,230
6/02/2002,225
13/02/2002,220
20/02/2002,230
27/02/2002,228
6/03/2002,225
13/03/2002,225
20/03/2002,217
27/03/2002,220
3/04/2002,218
10/04/2002,216
17/04/2002,224
24/04/2002,222
1/05/2002,220
8/05/2002,220
15/05/2002,222
22/05/2002,222
29/05/2002,222
5/06/2002,224
12/06/2002,225
19/06/2002,223
26/06/2002,221
3/07/2002,223
10/07/2002,225
17/07/2002,228
24/07/2002,250
31/07/2002,252
7/08/2002,255
14/08/2002,270
21/08/2002,285
28/08/2002,310
4/09/2002,310
11/09/2002,320
18/09/2002,325
25/09/2002,325
2/10/2002,330
9/10/2002,340
16/10/2002,340
23/10/2002,370
30/10/2002,360
6/11/2002,370
13/11/2002,370
20/11/2002,335
27/11/2002,340
4/12/2002,330
11/12/2002,335
18/12/2002,342
25/12/2002,342
1/01/2003,342
8/01/2003,342
15/01/2003,335
22/01/2003,355
29/01/2003,340
5/02/2003,335
12/02/2003,330
19/02/2003,330
26/02/2003,325
5/03/2003,320
12/03/2003,310
19/03/2003,300
26/03/2003,290
2/04/2003,280
9/04/2003,290
16/04/2003,272
23/04/2003,270
30/04/2003,270
7/05/2003,285
14/05/2003,285
21/05/2003,300
28/05/2003,295
4/06/2003,292
11/06/2003,297
18/06/2003,300
25/06/2003,300
2/07/2003,290
9/07/2003,270
16/07/2003,255
23/07/2003,250
30/07/2003,245
