,Date,WTFESY,OTH 18-20kg,OTH 20-22kg,OTH 22-24kg
0,31/01/1999,156.6666667,,,
1,28/02/1999,150.9375,,,
2,31/03/1999,154.85,,,
3,30/04/1999,159,,,
4,31/05/1999,159.5,,,
5,30/06/1999,160,,,
6,31/07/1999,158.5,,,
7,31/08/1999,155.75,,,
8,30/09/1999,156,,,
9,31/10/1999,157.5,,,
10,30/11/1999,150.5,,,
11,31/12/1999,142.8,,,
12,31/01/2000,145.25,204,202,198.25
13,29/02/2000,152.75,192.25,188.75,187
14,31/03/2000,153.2,189,188,188.75
15,30/04/2000,154,190.6666667,189,190.6666667
16,31/05/2000,157,176.6,177.4,185.4
17,30/06/2000,162.5,155.6666667,165,184
18,31/07/2000,162.5,144.8,154,173.2
19,31/08/2000,159.6,128.25,135.25,158.25
20,30/09/2000,161.5,126.25,131.25,164
21,31/10/2000,162.5,140,145.8,169.8
22,30/11/2000,174,160.75,164,179
23,31/12/2000,180,171,178,188
24,31/01/2001,180,182.5,188,201.5
25,28/02/2001,170.75,215,225.25,240.5
26,31/03/2001,164.25,226.75,242,268.5
27,30/04/2001,172.75,235.2,245.6,277.6
28,31/05/2001,179.6,221.5,229.75,266.25
29,30/06/2001,187,233.75,253,288.75
30,31/07/2001,202.75,251,277.6,308.2
31,31/08/2001,195.6,264,309.75,319.25
32,30/09/2001,192.25,324.5,331.25,339.5
33,31/10/2001,200.6,273.4,291.2,316.6
34,30/11/2001,204.5,271,290,312.25
35,31/12/2001,205.4166667,268,285,310
36,31/01/2002,220.6666667,278.75,285.75,310
37,28/02/2002,225.75,331.25,314.5,339.5
38,31/03/2002,221.75,347.5,331.25,348.5
39,30/04/2002,220,310,314.8,328.4
40,31/05/2002,221.2,297.5,287.5,294.5
41,30/06/2002,223.25,279.5,264.25,276.5
42,31/07/2002,235.6,300.4,288.2,306.4
43,31/08/2002,280,308.5,326.75,342.75
44,30/09/2002,320,344,362,383.2
45,31/10/2002,348,325,356,385
46,30/11/2002,353.75,263.5,305,335.75
47,31/12/2002,337.25,272.6666667,321,354.6666667
48,31/01/2003,342.8,332.5,336.5,360.5
49,28/02/2003,330,329.5,334.75,364.5
50,31/03/2003,305,390,400,411.2
51,30/04/2003,276.4,380.5,390.25,418
52,31/05/2003,291.25,356.75,373.25,405.75
53,30/06/2003,297.25,392,392,408.8
54,31/07/2003,262,409.25,404.75,417.5
