,Date,WTFESY,OTH 18-20kg,OTH 20-22kg,OTH 22-24kg
0,1999-01-31,156.66666666666666,,,
1,1999-02-28,150.9375,,,
2,1999-03-31,154.85,,,
3,1999-04-30,159.0,,,
4,1999-05-31,159.5,,,
5,1999-06-30,160.0,,,
6,1999-07-31,158.5,,,
7,1999-08-31,155.75,,,
8,1999-09-30,156.0,,,
9,1999-10-31,157.5,,,
10,1999-11-30,150.5,,,
11,1999-12-31,142.8,,,
12,2000-01-31,145.25,204.0,202.0,198.25
13,2000-02-29,152.75,192.25,188.75,187.0
14,2000-03-31,153.2,189.0,188.0,188.75
15,2000-04-30,154.0,190.66666669999998,189.0,190.66666669999998
16,2000-05-31,157.0,176.6,177.4,185.4
17,2000-06-30,162.5,155.66666669999998,165.0,184.0
18,2000-07-31,162.5,144.8,154.0,173.2
19,2000-08-31,159.6,128.25,135.25,158.25
20,2000-09-30,161.5,126.25,131.25,164.0
21,2000-10-31,162.5,140.0,145.8,169.8
22,2000-11-30,174.0,160.75,164.0,179.0
23,2000-12-31,180.0,171.0,178.0,188.0
24,2001-01-31,180.0,182.5,188.0,201.5
25,2001-02-28,170.75,215.0,225.25,240.5
26,2001-03-31,164.25,226.75,242.0,268.5
27,2001-04-30,172.75,235.2,245.6,277.6
28,2001-05-31,179.6,221.5,229.75,266.25
29,2001-06-30,187.0,233.75,253.0,288.75
30,2001-07-31,202.75,251.0,277.6,308.2
31,2001-08-31,195.6,264.0,309.75,319.25
32,2001-09-30,192.25,324.5,331.25,339.5
33,2001-10-31,200.6,273.4,291.2,316.6
34,2001-11-30,204.5,271.0,290.0,312.25
35,2001-12-31,205.416666675,268.0,285.0,310.0
36,2002-01-31,220.66666666,278.75,285.75,310.0
37,2002-02-28,225.75,331.25,314.5,339.5
38,2002-03-31,221.75,347.5,331.25,348.5
39,2002-04-30,220.0,310.0,314.8,328.4
40,2002-05-31,221.2,297.5,287.5,294.5
41,2002-06-30,223.25,279.5,264.25,276.5
42,2002-07-31,235.6,300.4,288.2,306.4
43,2002-08-31,280.0,308.5,326.75,342.75
44,2002-09-30,320.0,344.0,362.0,383.2
45,2002-10-31,348.0,325.0,356.0,385.0
46,2002-11-30,353.75,263.5,305.0,335.75
47,2002-12-31,337.25,272.6666667,321.0,354.6666667
48,2003-01-31,342.8,332.5,336.5,360.5
49,2003-02-28,330.0,329.5,334.75,364.5
50,2003-03-31,305.0,390.0,400.0,411.2
51,2003-04-30,276.4,380.5,390.25,418.0
52,2003-05-31,291.25,356.75,373.25,405.75
53,2003-06-30,297.25,392.0,392.0,408.8
54,2003-07-31,262.0,409.25,404.75,417.5
55,2003-08-31,220.0,425.75,431.75,434.75
56,2003-09-30,226.25,398.8,398.8,402.0
57,2003-10-31,213.4,358.0,359.25,370.75
58,2003-11-30,210.5,338.5,335.5,345.5
59,2003-12-31,207.6,333.0,327.3333333,313.0
60,2004-01-31,206.75,354.25,349.25,331.75
61,2004-02-29,205.25,365.5,358.5,339.75
62,2004-03-31,215.4,355.4,350.0,333.6
63,2004-04-30,221.25,346.25,340.0,318.0
64,2004-05-31,231.25,359.0,349.2,327.0
65,2004-06-30,228.2,433.25,428.25,395.5
66,2004-07-31,211.25,490.5,486.75,469.75
67,2004-08-31,209.0,470.4,467.6,459.2
68,2004-09-30,200.6,407.5,409.5,404.75
69,2004-10-31,197.75,348.25,348.25,355.0
70,2004-11-30,188.75,335.6,334.2,338.4
71,2004-12-31,181.55,329.0,327.0,335.5
72,2005-01-31,175.58333333333337,336.0,331.25,326.5
73,2005-02-28,173.25,344.75,328.75,315.25
74,2005-03-31,178.8,342.25,326.0,305.0
75,2005-04-30,183.0,333.75,318.25,298.5
76,2005-05-31,212.5,339.4,319.2,300.2
77,2005-06-30,223.0,352.75,338.25,314.25
78,2005-07-31,208.25,374.0,370.25,355.0
79,2005-08-31,199.2,394.4,390.8,371.4
80,2005-09-30,189.5,387.75,391.75,381.75
81,2005-10-31,194.5,352.6,349.0,343.6
82,2005-11-30,183.6,336.5,333.5,330.25
83,2005-12-31,170.86666666000005,338.0,338.0,337.5
84,2006-01-31,175.666666675,337.0,336.75,329.25
85,2006-02-28,184.25,346.0,351.0,345.25
86,2006-03-31,190.0,342.5,343.25,339.5
87,2006-04-30,193.0,339.75,339.75,336.75
88,2006-05-31,198.2,343.8,343.0,339.6
89,2006-06-30,220.0,350.25,349.75,349.5
90,2006-07-31,218.0,364.6,363.2,360.0
91,2006-08-31,219.0,354.25,355.5,350.5
92,2006-09-30,243.75,314.25,311.5,314.25
93,2006-10-31,317.5,307.6,303.6,305.0
94,2006-11-30,329.0,317.5,311.5,321.25
95,2006-12-31,322.916666675,321.0,318.0,325.0
96,2007-01-31,321.06666666,327.5,325.5,326.0
97,2007-02-28,314.75,331.0,331.0,327.0
98,2007-03-31,301.25,337.5,342.5,339.75
