,Date,16-18kg,18-20kg,20-22kg,22-24kg,WTFESY
0,1999-01-31,,,,,156.66666669999998
1,1999-02-28,,,,,150.9375
2,1999-03-31,,,,,154.85
3,1999-04-30,,,,,159.0
4,1999-05-31,,,,,159.5
5,1999-06-30,,,,,160.0
6,1999-07-31,,,,,158.5
7,1999-08-31,,,,,155.75
8,1999-09-30,,,,,156.0
9,1999-10-31,,,,,157.5
10,1999-11-30,,,,,150.5
11,1999-12-31,,,,,142.8
12,2000-01-31,199.5,204.0,202.0,198.25,145.25
13,2000-02-29,188.0,192.25,188.75,187.0,152.75
14,2000-03-31,182.25,189.0,188.0,188.75,153.2
15,2000-04-30,183.0,190.66666669999998,189.0,190.66666669999998,154.0
16,2000-05-31,170.0,176.6,177.4,185.4,157.0
17,2000-06-30,149.33333330000002,155.66666669999998,165.0,184.0,162.5
18,2000-07-31,142.0,144.8,154.0,173.2,162.5
19,2000-08-31,120.5,128.25,135.25,158.25,159.6
20,2000-09-30,112.25,126.25,131.25,164.0,161.5
21,2000-10-31,136.0,140.0,145.8,169.8,162.5
22,2000-11-30,155.5,160.75,164.0,179.0,174.0
23,2000-12-31,161.0,171.0,178.0,188.0,180.0
24,2001-01-31,167.25,182.5,188.0,201.5,180.0
25,2001-02-28,193.75,215.0,225.25,240.5,170.75
26,2001-03-31,195.0,226.75,242.0,268.5,164.25
27,2001-04-30,200.4,235.2,245.6,277.6,172.75
28,2001-05-31,189.25,221.5,229.75,266.25,179.6
29,2001-06-30,187.0,233.75,253.0,288.75,187.0
30,2001-07-31,181.2,251.0,277.6,308.2,202.75
31,2001-08-31,216.0,264.0,309.75,319.25,195.6
32,2001-09-30,292.5,324.5,331.25,339.5,192.25
33,2001-10-31,239.0,273.4,291.2,316.6,200.6
34,2001-11-30,238.75,271.0,290.0,312.25,204.5
35,2001-12-31,235.0,268.0,285.0,310.0,205.41666669999998
36,2002-01-31,247.5,278.75,285.75,310.0,220.66666669999998
37,2002-02-28,305.0,331.25,314.5,339.5,225.75
38,2002-03-31,331.25,347.5,331.25,348.5,221.75
39,2002-04-30,301.0,310.0,314.8,328.4,220.0
40,2002-05-31,287.5,297.5,287.5,294.5,221.2
41,2002-06-30,273.75,279.5,264.25,276.5,223.25
42,2002-07-31,280.0,300.4,288.2,306.4,235.6
43,2002-08-31,280.0,308.5,326.75,342.75,280.0
44,2002-09-30,324.0,344.0,362.0,383.2,320.0
45,2002-10-31,287.5,325.0,356.0,385.0,348.0
46,2002-11-30,237.5,263.5,305.0,335.75,353.75
47,2002-12-31,255.0,272.6666667,321.0,354.6666667,337.25
48,2003-01-31,273.75,332.5,336.5,360.5,342.8
49,2003-02-28,276.25,329.5,334.75,364.5,330.0
50,2003-03-31,351.4,390.0,400.0,411.2,305.0
51,2003-04-30,355.0,380.5,390.25,418.0,276.4
52,2003-05-31,350.0,356.75,373.25,405.75,291.25
53,2003-06-30,360.0,392.0,392.0,408.8,297.25
54,2003-07-31,382.5,409.25,404.75,417.5,262.0
55,2003-08-31,390.0,425.75,431.75,434.75,220.0
56,2003-09-30,382.0,398.8,398.8,402.0,226.25
57,2003-10-31,347.5,358.0,359.25,370.75,213.4
58,2003-11-30,335.0,338.5,335.5,345.5,210.5
59,2003-12-31,320.0,333.0,327.3333333,313.0,207.6
60,2004-01-31,352.0,354.25,349.25,331.75,206.75
61,2004-02-29,372.5,365.5,358.5,339.75,205.25
62,2004-03-31,353.74074069999995,355.4,350.0,333.6,215.4
63,2004-04-30,345.462963,346.25,340.0,318.0,221.25
64,2004-05-31,339.6296296,359.0,349.2,327.0,231.25
65,2004-06-30,333.7962963,433.25,428.25,395.5,228.2
66,2004-07-31,328.6111112,490.5,486.75,469.75,211.25
67,2004-08-31,322.77777779999997,470.4,467.6,459.2,209.0
68,2004-09-30,316.9444445,407.5,409.5,404.75,200.6
69,2004-10-31,319.375,348.25,348.25,355.0,197.75
70,2004-11-30,312.0,335.6,334.2,338.4,188.75
71,2004-12-31,315.0,329.0,327.0,335.5,181.55
72,2005-01-31,325.0,336.0,331.25,326.5,175.58333330000002
73,2005-02-28,322.5,344.75,328.75,315.25,173.25
74,2005-03-31,327.5,342.25,326.0,305.0,178.8
75,2005-04-30,322.5,333.75,318.25,298.5,183.0
76,2005-05-31,333.6,339.4,319.2,300.2,212.5
77,2005-06-30,355.0,352.75,338.25,314.25,223.0
78,2005-07-31,381.75,374.0,370.25,355.0,208.25
79,2005-08-31,399.8,394.4,390.8,371.4,199.2
80,2005-09-30,389.25,387.75,391.75,381.75,189.5
81,2005-10-31,346.2,352.6,349.0,343.6,194.5
82,2005-11-30,315.0,336.5,333.5,330.25,183.6
83,2005-12-31,329.0,338.0,338.0,337.5,170.8666667
84,2006-01-31,321.25,337.0,336.75,329.25,175.66666669999998
85,2006-02-28,318.0,346.0,351.0,345.25,184.25
86,2006-03-31,280.0,342.5,343.25,339.5,190.0
87,2006-04-30,280.0,339.75,339.75,336.75,193.0
88,2006-05-31,280.3076923,343.8,343.0,339.6,198.2
89,2006-06-30,285.3846154,350.25,349.75,349.5,220.0
90,2006-07-31,292.3076923,364.6,363.2,360.0,218.0
91,2006-08-31,293.8461539,354.25,355.5,350.5,219.0
92,2006-09-30,270.0,314.25,311.5,314.25,243.75
93,2006-10-31,240.0,307.6,303.6,305.0,317.5
94,2006-11-30,217.5,317.5,311.5,321.25,329.0
95,2006-12-31,220.0,321.0,318.0,325.0,322.9166667
96,2007-01-31,242.5,327.5,325.5,326.0,321.0666667
97,2007-02-28,280.0,331.0,331.0,327.0,314.75
98,2007-03-31,282.5,337.5,342.5,339.75,301.25
99,2007-04-30,288.0,341.8,341.8,335.0,293.0
100,2007-05-31,335.0,354.25,353.5,346.75,294.0
101,2007-06-30,352.5,375.5,373.0,374.0,299.5
102,2007-07-31,334.0,363.0,363.2,368.6,311.25
103,2007-08-31,292.5,312.0,312.5,317.25,316.4
104,2007-09-30,231.0,262.75,264.75,270.25,408.75
105,2007-10-31,234.0,276.8,268.8,274.2,458.0
106,2007-11-30,250.0,294.25,280.75,277.0,430.0
107,2007-12-31,250.0,303.5,295.0,289.0,441.66666669999995
108,2008-01-31,317.5,328.0,328.5,323.25,445.66666669999995
109,2008-02-29,347.5,369.75,372.0,343.75,475.0
110,2008-03-31,314.0,353.8,338.8,327.2,512.5
111,2008-04-30,310.0,348.0,337.5,328.5,470.0
112,2008-05-31,335.0,366.75,354.25,348.5,430.0
113,2008-06-30,386.0,430.4,417.4,408.8,435.0
114,2008-07-31,420.0,460.75,453.75,448.5,449.0
115,2008-08-31,415.0,461.0,456.25,448.75,418.75
116,2008-09-30,396.0,437.2,436.8,433.6,403.75
117,2008-10-31,350.0,372.25,373.5,379.5,342.0
118,2008-11-30,321.25,359.0,359.75,363.75,281.875
119,2008-12-31,358.3333333,403.0,397.6666667,393.3333333,229.0
120,2009-01-31,398.75,422.0,417.5,413.75,267.5
121,2009-02-28,395.0,412.75,407.0,411.25,282.5
122,2009-03-31,428.0,435.6,429.6,434.8,281.0
123,2009-04-30,460.0,451.75,447.25,448.75,271.0
124,2009-05-31,470.0,464.75,457.75,458.0,273.125
125,2009-06-30,506.0,490.6,481.6,480.0,281.25
126,2009-07-31,510.0,499.0,497.0,489.75,278.0
127,2009-08-31,406.0,434.4,442.2,452.2,262.5
128,2009-09-30,397.5,424.5,433.25,440.25,250.0
129,2009-10-31,425.0,422.5,425.5,429.25,229.0
130,2009-11-30,397.2,393.4,393.6,394.2,230.0
131,2009-12-31,406.5,415.0,413.5,414.5,247.66666669999998
132,2010-01-31,428.33333330000005,461.33333330000005,461.33333330000005,457.33333330000005,250.41666669999998
133,2010-02-28,450.0,469.0,469.0,465.5,229.5
134,2010-03-31,456.0,473.2,473.2,469.6,224.5
135,2010-04-30,450.0,468.5,468.5,463.25,210.33333330000002
136,2010-05-31,462.0,482.6,481.6,476.2,218.66666669999998
137,2010-06-30,477.5,498.75,498.75,493.0,219.0
138,2010-07-31,497.5,496.0,495.25,484.5,235.2
139,2010-08-31,492.0,512.2,512.2,493.6,284.25
140,2010-09-30,506.25,518.0,517.0,495.25,301.2
141,2010-10-31,447.5,472.75,472.75,461.75,296.25
142,2010-11-30,422.0,464.8,465.4,456.0,261.25
143,2010-12-31,450.0,491.5,492.0,490.5,257.75
144,2011-01-31,511.25,532.75,533.75,535.5,250.9375
145,2011-02-28,550.0,575.5,575.75,571.75,250.0
146,2011-03-31,567.5,600.25,600.25,595.25,251.0
147,2011-04-30,570.0,596.25,596.5,588.0,257.5
148,2011-05-31,582.0,570.0,572.8,553.0,257.5
149,2011-06-30,557.5,543.25,545.25,522.75,253.2
150,2011-07-31,517.5,493.0,492.25,470.25,242.5
151,2011-08-31,480.0,494.0,493.0,464.4,243.0
152,2011-09-30,480.0,493.5,495.75,470.75,244.4
153,2011-10-31,498.0,505.6,507.0,493.6,231.25
154,2011-11-30,487.5,500.25,500.75,490.5,227.5
155,2011-12-31,500.0,511.0,511.0,504.0,204.75
156,2012-01-31,445.0,496.25,496.25,483.5,211.4375
157,2012-02-29,431.25,482.5,481.0,462.25,213.25
158,2012-03-31,422.5,469.25,468.0,455.75,209.4
159,2012-04-30,420.0,449.0,447.6,441.0,209.5
160,2012-05-31,420.0,443.25,441.5,435.25,221.6
161,2012-06-30,420.0,446.5,448.5,431.5,251.75
162,2012-07-31,420.0,453.6,441.2,424.8,286.25
163,2012-08-31,420.0,427.0,418.25,403.0,299.8
164,2012-09-30,400.0,416.75,413.5,408.5,310.25
165,2012-10-31,366.0,393.6,392.8,382.6,301.75
166,2012-11-30,348.75,350.25,351.25,351.75,307.2
167,2012-12-31,337.5,354.5,354.5,351.5,308.0833333
168,2013-01-31,351.75,360.75,361.5,359.0,308.1333333
169,2013-02-28,361.5,369.25,369.5,366.25,319.0
170,2013-03-31,411.75,423.0,423.75,421.0,315.25
171,2013-04-30,409.6,427.6,429.2,426.4,300.25
172,2013-05-31,348.75,417.5,417.25,419.5,309.6
173,2013-06-30,375.0,473.75,472.75,463.25,311.5
174,2013-07-31,404.0,505.4,502.6,496.6,308.5
175,2013-08-31,381.25,489.25,487.75,487.5,291.8
176,2013-09-30,350.0,452.4,452.4,448.2,283.5
177,2013-10-31,,435.0,435.0,429.25,291.0
178,2013-11-30,,419.75,419.75,413.75,298.75
179,2013-12-31,,430.5,430.5,426.6,309.4166667
180,2014-01-31,,439.5,439.5,432.5,309.2666667
181,2014-02-28,,480.75,482.25,476.5,313.75
182,2014-03-31,,566.4,566.4,563.6,327.5
183,2014-04-30,,574.0,574.0,568.75,330.25
184,2014-05-31,,592.75,592.75,586.5,333.2
185,2014-06-30,,587.6,587.6,584.4,316.0
186,2014-07-31,,555.75,559.25,563.0,291.7
187,2014-08-31,,497.75,497.75,500.75,285.0
188,2014-09-30,,493.8,493.8,490.0,283.75
189,2014-10-31,,483.5,483.5,482.5,277.6
190,2014-11-30,,466.5,470.0,466.25,301.5
191,2014-12-31,,497.65,502.25,502.0,305.9375
192,2015-01-31,,514.5625,523.3125,524.0,308.35
193,2015-02-28,,531.25,541.25,543.5,298.5
194,2015-03-31,,519.2,529.2,520.0,292.5
195,2015-04-30,,527.0,537.0,529.25,299.0
196,2015-05-31,,539.5,554.5,549.5,292.75
197,2015-06-30,,553.0,568.0,567.2,298.0
198,2015-07-31,,564.0,574.0,569.5,310.2
199,2015-08-31,,568.8,577.8,575.6,296.25
200,2015-09-30,,551.25,562.0,560.75,278.75
201,2015-10-31,,484.25,499.0,497.5,283.8
202,2015-11-30,,493.4,518.0,518.0,293.5
203,2015-12-31,,499.0625,521.625,521.625,285.55
204,2016-01-31,,490.3125,514.875,514.875,280.6875
205,2016-02-29,,503.8,523.8,525.0,275.0
206,2016-03-31,,484.5,501.5,501.5,258.7333333
207,2016-04-30,,502.0,510.0,510.0,259.5833333
208,2016-05-31,,528.0,536.0,533.6,262.75
209,2016-06-30,,588.0,596.0,592.0,269.6
210,2016-07-31,,604.0,612.0,612.0,255.25
211,2016-08-31,,591.4,600.6,600.6,238.125
212,2016-09-30,,549.75,567.0,567.0,232.0
213,2016-10-31,,540.6,555.4,556.4,247.25
214,2016-11-30,,521.0,537.0,535.5,247.0
215,2016-12-31,,515.4,524.6,530.3,222.5
216,2017-01-31,,534.88,549.92,552.56,215.25
217,2017-02-28,,607.5,613.5,613.5,203.5
218,2017-03-31,,621.0,621.0,621.0,210.0
219,2017-04-30,,652.5,652.5,652.5,209.75
220,2017-05-31,,640.4,640.4,640.4,217.5
221,2017-06-30,,638.0,638.0,638.0,243.8
222,2017-07-31,,594.4,594.4,594.4,276.75
223,2017-08-31,,600.5,600.5,600.5,249.2
224,2017-09-30,,607.5,607.5,607.5,255.0
225,2017-10-31,,606.0,606.0,606.0,269.25
226,2017-11-30,,634.0,634.0,634.0,256.0
227,2017-12-31,,652.0,652.0,652.0,258.9166667
228,2018-01-31,,654.6,654.6,654.6,250.83333330000002
229,2018-02-28,,623.5,623.5,623.5,262.75
230,2018-03-31,,617.75,617.75,617.75,277.4
231,2018-04-30,,609.6,609.6,609.6,289.5
232,2018-05-31,,602.5,602.5,602.5,338.2
233,2018-06-30,,630.0,630.0,630.0,375.0
234,2018-07-31,,717.2,725.4,722.8,372.5
235,2018-08-31,,783.75,783.75,783.75,407.5
236,2018-09-30,,815.25,815.25,815.25,430.0
237,2018-10-31,,742.0,742.0,742.0,450.0
238,2018-11-30,,722.5,722.5,722.5,446.0
239,2018-12-31,,722.8,725.5,725.5,440.41666669999995
240,2019-01-31,,702.75,705.0,705.0,441.33333330000005
241,2019-02-28,,676.0,676.0,676.0,431.66666669999995
242,2019-03-31,,648.5,648.5,648.5,411.25
243,2019-04-30,,687.3,687.3,687.3,397.0
244,2019-05-31,,766.75,766.75,766.75,375.4
245,2019-06-30,,839.5,839.5,839.5,385.0
246,2019-07-31,,875.4,875.4,875.4,370.0
247,2019-08-31,,840.0,840.0,840.0,359.0
248,2019-09-30,,790.8,790.8,790.8,370.0
249,2019-10-31,,783.0,783.0,778.5,382.5
250,2019-11-30,,759.25,759.25,757.75,376.25
251,2019-12-31,,721.0,734.0,734.0,403.3333333
252,2020-01-31,,695.5,729.75,729.75,429.33333330000005
