Date,OTH 18-20kg,OTH 20-22kg,OTH 22-24kg
2000-01-31,204,202,198.25
2000-02-29,192.25,188.75,187
2000-03-31,189,188,188.75
2000-04-30,190.6666667,189,190.6666667
2000-05-31,176.6,177.4,185.4
2000-06-30,155.6666667,165,184
2000-07-31,144.8,154,173.2
2000-08-31,128.25,135.25,158.25
2000-09-30,126.25,131.25,164
2000-10-31,140,145.8,169.8
2000-11-30,160.75,164,179
2000-12-31,171,178,188
2001-01-31,182.5,188,201.5
2001-02-28,215,225.25,240.5
2001-03-31,226.75,242,268.5
2001-04-30,235.2,245.6,277.6
2001-05-31,221.5,229.75,266.25
2001-06-30,233.75,253,288.75
2001-07-31,251,277.6,308.2
2001-08-31,264,309.75,319.25
2001-09-30,324.5,331.25,339.5
2001-10-31,273.4,291.2,316.6
2001-11-30,271,290,312.25
2001-12-31,268,285,310
2002-01-31,278.75,285.75,310
2002-02-28,331.25,314.5,339.5
2002-03-31,347.5,331.25,348.5
2002-04-30,310,314.8,328.4
2002-05-31,297.5,287.5,294.5
2002-06-30,279.5,264.25,276.5
2002-07-31,300.4,288.2,306.4
2002-08-31,308.5,326.75,342.75
2002-09-30,344,362,383.2
2002-10-31,325,356,385
2002-11-30,263.5,305,335.75
2002-12-31,272.6666667,321,354.6666667
2003-01-31,332.5,336.5,360.5
2003-02-28,329.5,334.75,364.5
2003-03-31,390,400,411.2
2003-04-30,380.5,390.25,418
2003-05-31,356.75,373.25,405.75
2003-06-30,392,392,408.8
2003-07-31,409.25,404.75,417.5
2003-08-31,425.75,431.75,434.75
2003-09-30,398.8,398.8,402
2003-10-31,358,359.25,370.75
2003-11-30,338.5,335.5,345.5
2003-12-31,333,327.3333333,313
2004-01-31,354.25,349.25,331.75
2004-02-29,365.5,358.5,339.75
2004-03-31,355.4,350,333.6
2004-04-30,346.25,340,318
2004-05-31,359,349.2,327
2004-06-30,433.25,428.25,395.5
2004-07-31,490.5,486.75,469.75
2004-08-31,470.4,467.6,459.2
2004-09-30,407.5,409.5,404.75
2004-10-31,348.25,348.25,355
2004-11-30,335.6,334.2,338.4
2004-12-31,329,327,335.5
2005-01-31,336,331.25,326.5
2005-02-28,344.75,328.75,315.25
2005-03-31,342.25,326,305
2005-04-30,333.75,318.25,298.5
2005-05-31,339.4,319.2,300.2
2005-06-30,352.75,338.25,314.25
2005-07-31,374,370.25,355
2005-08-31,394.4,390.8,371.4
2005-09-30,387.75,391.75,381.75
2005-10-31,352.6,349,343.6
2005-11-30,336.5,333.5,330.25
2005-12-31,338,338,337.5
2006-01-31,337,336.75,329.25
2006-02-28,346,351,345.25
2006-03-31,342.5,343.25,339.5
2006-04-30,339.75,339.75,336.75
2006-05-31,343.8,343,339.6
2006-06-30,350.25,349.75,349.5
2006-07-31,364.6,363.2,360
2006-08-31,354.25,355.5,350.5
2006-09-30,314.25,311.5,314.25
2006-10-31,307.6,303.6,305
2006-11-30,317.5,311.5,321.25
2006-12-31,321,318,325
2007-01-31,327.5,325.5,326
2007-02-28,331,331,327
2007-03-31,337.5,342.5,339.75
2007-04-30,341.8,341.8,335
2007-05-31,354.25,353.5,346.75
2007-06-30,375.5,373,374
2007-07-31,363,363.2,368.6
2007-08-31,312,312.5,317.25
2007-09-30,262.75,264.75,270.25
2007-10-31,276.8,268.8,274.2
2007-11-30,294.25,280.75,277
2007-12-31,303.5,295,289
2008-01-31,328,328.5,323.25
2008-02-29,369.75,372,343.75
2008-03-31,353.8,338.8,327.2
2008-04-30,348,337.5,328.5
2008-05-31,366.75,354.25,348.5
2008-06-30,430.4,417.4,408.8
2008-07-31,460.75,453.75,448.5
2008-08-31,461,456.25,448.75
2008-09-30,437.2,436.8,433.6
2008-10-31,372.25,373.5,379.5
2008-11-30,359,359.75,363.75
2008-12-31,403,397.6666667,393.3333333
2009-01-31,422,417.5,413.75
2009-02-28,412.75,407,411.25
2009-03-31,435.6,429.6,434.8
2009-04-30,451.75,447.25,448.75
2009-05-31,464.75,457.75,458
2009-06-30,490.6,481.6,480
2009-07-31,499,497,489.75
2009-08-31,434.4,442.2,452.2
2009-09-30,424.5,433.25,440.25
2009-10-31,422.5,425.5,429.25
2009-11-30,393.4,393.6,394.2
2009-12-31,415,413.5,414.5
2010-01-31,461.3333333,461.3333333,457.3333333
2010-02-28,469,469,465.5
2010-03-31,473.2,473.2,469.6
2010-04-30,468.5,468.5,463.25
2010-05-31,482.6,481.6,476.2
2010-06-30,498.75,498.75,493
2010-07-31,496,495.25,484.5
2010-08-31,512.2,512.2,493.6
2010-09-30,518,517,495.25
2010-10-31,472.75,472.75,461.75
2010-11-30,464.8,465.4,456
2010-12-31,491.5,492,490.5
2011-01-31,532.75,533.75,535.5
2011-02-28,575.5,575.75,571.75
2011-03-31,600.25,600.25,595.25
2011-04-30,596.25,596.5,588
2011-05-31,570,572.8,553
2011-06-30,543.25,545.25,522.75
2011-07-31,493,492.25,470.25
2011-08-31,494,493,464.4
2011-09-30,493.5,495.75,470.75
2011-10-31,505.6,507,493.6
2011-11-30,500.25,500.75,490.5
2011-12-31,511,511,504
2012-01-31,496.25,496.25,483.5
2012-02-29,482.5,481,462.25
2012-03-31,469.25,468,455.75
2012-04-30,449,447.6,441
2012-05-31,443.25,441.5,435.25
2012-06-30,446.5,448.5,431.5
2012-07-31,453.6,441.2,424.8
2012-08-31,427,418.25,403
2012-09-30,416.75,413.5,408.5
2012-10-31,393.6,392.8,382.6
2012-11-30,350.25,351.25,351.75
2012-12-31,354.5,354.5,351.5
2013-01-31,360.75,361.5,359
2013-02-28,369.25,369.5,366.25
2013-03-31,423,423.75,421
2013-04-30,427.6,429.2,426.4
2013-05-31,417.5,417.25,419.5
2013-06-30,473.75,472.75,463.25
2013-07-31,505.4,502.6,496.6
2013-08-31,489.25,487.75,487.5
2013-09-30,452.4,452.4,448.2
2013-10-31,435,435,429.25
2013-11-30,419.75,419.75,413.75
2013-12-31,430.5,430.5,426.6
2014-01-31,439.5,439.5,432.5
2014-02-28,480.75,482.25,476.5
2014-03-31,566.4,566.4,563.6
2014-04-30,574,574,568.75
2014-05-31,592.75,592.75,586.5
2014-06-30,587.6,587.6,584.4
2014-07-31,555.75,559.25,563
2014-08-31,497.75,497.75,500.75
2014-09-30,493.8,493.8,490
2014-10-31,483.5,483.5,482.5
2014-11-30,466.5,470,466.25
2014-12-31,497.65,502.25,502
2015-01-31,514.5625,523.3125,524
2015-02-28,531.25,541.25,543.5
2015-03-31,519.2,529.2,520
2015-04-30,527,537,529.25
2015-05-31,539.5,554.5,549.5
2015-06-30,553,568,567.2
2015-07-31,564,574,569.5
2015-08-31,568.8,577.8,575.6
2015-09-30,551.25,562,560.75
2015-10-31,484.25,499,497.5
2015-11-30,493.4,518,518
2015-12-31,499.0625,521.625,521.625
2016-01-31,490.3125,514.875,514.875
2016-02-29,503.8,523.8,525
2016-03-31,484.5,501.5,501.5
2016-04-30,502,510,510
2016-05-31,528,536,533.6
2016-06-30,588,596,592
2016-07-31,604,612,612
2016-08-31,591.4,600.6,600.6
2016-09-30,549.75,567,567
2016-10-31,540.6,555.4,556.4
2016-11-30,521,537,535.5
2016-12-31,515.4,524.6,530.3
2017-01-31,534.88,549.92,552.56
2017-02-28,607.5,613.5,613.5
2017-03-31,621,621,621
2017-04-30,652.5,652.5,652.5
2017-05-31,640.4,640.4,640.4
2017-06-30,638,638,638
2017-07-31,594.4,594.4,594.4
2017-08-31,600.5,600.5,600.5
2017-09-30,607.5,607.5,607.5
2017-10-31,606,606,606
2017-11-30,634,634,634
2017-12-31,652,652,652
2018-01-31,654.6,654.6,654.6
2018-02-28,623.5,623.5,623.5
2018-03-31,617.75,617.75,617.75
2018-04-30,609.6,609.6,609.6
2018-05-31,602.5,602.5,602.5
2018-06-30,630,630,630
2018-07-31,717.2,725.4,722.8
2018-08-31,783.75,783.75,783.75
2018-09-30,815.25,815.25,815.25
2018-10-31,742,742,742
2018-11-30,722.5,722.5,722.5
2018-12-31,722.8,725.5,725.5
2019-01-31,702.75,705,705
2019-02-28,676,676,676
2019-03-31,648.5,648.5,648.5
2019-04-30,687.3,687.3,687.3
2019-05-31,766.75,766.75,766.75
2019-06-30,839.5,839.5,839.5
2019-07-31,875.4,875.4,875.4
2019-08-31,840,840,840
2019-09-30,790.8,790.8,790.8
2019-10-31,783,783,778.5
2019-11-30,759.25,759.25,757.75
2019-12-31,721,734,734
2020-01-31,695.5,729.75,729.75
