Date,Unnamed: 0,18-22kg,12-18kg,22+kg,16-22kg,0-18kg,18-24kg
2000-01-31,1.5,198,186,189.5,145.25,197.75,55.25
2000-02-29,5.5,182.5,162.5,178,120.5,167.75,48.75
2000-03-31,10,179.4,167.6,174.6,131.6,155,56.6
2000-04-30,14.5,172.75,165.75,163.75,128.75,160.25,66.25
2000-05-31,18.5,159.75,148.25,159.5,108.25,138,73.5
2000-06-30,23,136.8,115.6,140.6,89,102.8,68.8
2000-07-31,27.5,148.5,130.25,147,98,109.75,80.5
2000-08-31,32,140,131,146,88.8,95.6,70.6
2000-09-30,36.5,134,127.25,155.75,82.5,112.25,67.25
2000-10-31,40.5,143,135,154.25,98.25,144,60.25
2000-11-30,45,170.8,156.6,182.4,112,152.6,73.2
2000-12-31,49.5,182.875,159.25,195.875,117.5,158.625,73.75
2001-01-31,53.5,191,166.5,195.25,120.25,155,63
2001-02-28,57.5,234.5,193,250.75,151.5,165.75,78.75
2001-03-31,62,246.8,199.4,279.6,166.6,176.4,98.4
2001-04-30,66.5,238.25,196.5,266.75,176.5,186.25,122.25
2001-05-31,71,220.8,180.6,264,159.8,176.4,132.4
2001-06-30,75.5,278.75,216.25,311.5,185.5,194,156.75
2001-07-31,79.5,282.25,224,309.25,198.5,194.75,164.5
2001-08-31,84,320.6,275,349.4,212.8,223.4,175.8
2001-09-30,88.5,329.25,285.75,357.25,244.25,255.25,182
2001-10-31,92.5,279,236,307.5,187.25,244.5,149
2001-11-30,97,279.4,246.2,298.4,200,250.8,140.2
2001-12-31,101.5,278.75,247.75,293,218.75,248,138.5
2002-01-31,106,290.6,250.8,294.6,198.2,228.4,136.2
2002-02-28,110.5,361.25,320.5,361.5,275.5,302.75,179.25
2002-03-31,114.5,342.75,316.25,348.75,281.25,292,182
2002-04-30,118.5,321.75,289.5,318,256,287,194.5
2002-05-31,123,286.8,252.8,279.2,215.2,259.2,182.6
2002-06-30,127.5,299.75,239.25,285.75,210.5,214.25,192.5
2002-07-31,131.5,317,255.5,313,233.75,200,178.25
2002-08-31,136,357.8,301.2,364.2,266.6,214.8,152.4
2002-09-30,140.5,392.5,336,392.5,302.25,261,162.5
2002-10-31,145,331,272,349.2,222.4,199.4,116.8
2002-11-30,149.5,299.5,228.75,314.75,219.5,170.75,111.5
2002-12-31,153.5,338.75,278,333.5,248.5833333,209.75,136
2003-01-31,158,343.6,279.3,349.2,269.3333333,229.5,159
2003-02-28,162.5,360.5,303.25,374,291.5,237,164.25
2003-03-31,166.5,411.5,364,418.5,348,319.25,200.75
2003-04-30,170.5,396.25,354.75,404.25,342.75,332.5,214.5
