Date,18-22kg,12-18kg,22+kg,16-22kg,0-18kg,18-24kg
6/01/2000,205,200,198,183,214,60
13/01/2000,201,190,195,134,192,56
20/01/2000,195,184,185,146,197,53
27/01/2000,191,170,180,118,188,52
3/02/2000,188,172,182,133,180,51
10/02/2000,176,159,173,131,160,48
17/02/2000,187,167,183,123,165,45
24/02/2000,179,152,174,95,166,51
2/03/2000,173,152,172,105,146,50
9/03/2000,176,163,175,136,134,49
16/03/2000,185,176,175,128,160,53
23/03/2000,182,174,175,144,166,64
30/03/2000,181,173,176,145,169,67
6/04/2000,182,177,175,138,164,69
13/04/2000,172,164,163,124,151,66
20/04/2000,175,170,161,123,155,61
27/04/2000,162,152,156,130,171,69
4/05/2000,169,166,166,116,145,67
11/05/2000,159,148,158,110,135,71
18/05/2000,161,145,158,105,144,79
25/05/2000,150,134,156,102,128,77
1/06/2000,153,130,150,111,130,77
8/06/2000,135,119,147,97,113,77
15/06/2000,127,103,134,83,90,67
22/06/2000,136,110,132,75,81,62
29/06/2000,133,116,140,79,100,61
6/07/2000,155,133,151,92,113,78
13/07/2000,153,140,150,113,113,86
20/07/2000,139,127,143,100,114,80
27/07/2000,147,121,144,87,99,78
3/08/2000,134,118,133,76,109,74
10/08/2000,121,134,134,91,83,70
17/08/2000,150,131,153,97,105,68
24/08/2000,145,133,155,84,84,67
31/08/2000,150,139,155,96,97,74
7/09/2000,144,130,155,87,120,72
14/09/2000,140,138,162,86,101,67
21/09/2000,126,120,156,81,123,67
28/09/2000,126,121,150,76,105,63
5/10/2000,137,129,156,88,136,64
12/10/2000,131,117,149,82,115,54
19/10/2000,142,136,147,93,176,57
26/10/2000,162,158,165,130,149,66
2/11/2000,156,151,160,114,165,70
9/11/2000,161,152,175,115,144,66
16/11/2000,182,167,192,116,147,72
23/11/2000,179,159,196,122,159,79
30/11/2000,176,154,189,93,148,79
7/12/2000,188,157,212,97,164,77
14/12/2000,185,158,203,149,159,73
21/12/2000,182,164,187,113,151,75
28/12/2000,,,,,,
4/01/2001,171,152,176,109,170,65
11/01/2001,194,166,197,101,151,66
18/01/2001,197,170,199,128,150,58
25/01/2001,202,178,209,143,149,63
1/02/2001,223,181,224,144,169,68
8/02/2001,235,196,238,162,160,77
15/02/2001,255,206,280,147,167,83
22/02/2001,225,189,261,153,167,87
1/03/2001,239,198,262,172,168,83
8/03/2001,239,190,270,146,181,90
15/03/2001,241,194,270,159,165,95
22/03/2001,255,210,292,181,189,104
29/03/2001,260,205,304,175,179,120
5/04/2001,252,213,283,184,194,132
12/04/2001,247,206,273,187,182,117
19/04/2001,225,180,254,159,185,117
26/04/2001,229,187,257,176,184,123
3/05/2001,234,186,266,161,177,124
10/05/2001,222,182,262,159,173,124
17/05/2001,227,185,282,163,182,134
24/05/2001,213,180,259,156,177,147
31/05/2001,208,170,251,160,173,133
7/06/2001,244,181,275,161,152,131
14/06/2001,278,212,300,177,184,146
21/06/2001,311,245,333,197,250,176
28/06/2001,282,227,338,207,190,174
5/07/2001,270,216,324,190,186,171
12/07/2001,282,225,307,187,198,155
19/07/2001,281,226,299,203,183,157
26/07/2001,296,229,307,214,212,175
2/08/2001,305,272,325,199,220,174
9/08/2001,319,277,348,227,216,179
16/08/2001,315,263,344,191,237,175
23/08/2001,316,268,345,215,219,172
30/08/2001,348,295,385,232,225,179
6/09/2001,346,309,386,295,241,190
13/09/2001,360,322,375,269,282,185
20/09/2001,331,281,352,229,276,182
27/09/2001,280,231,316,184,222,171
4/10/2001,271,210,303,187,238,155
11/10/2001,285,230,309,165,236,126
18/10/2001,286,254,315,197,256,162
25/10/2001,274,250,303,200,248,153
1/11/2001,262,231,295,184,235,143
8/11/2001,274,243,300,187,237,133
15/11/2001,290,254,302,197,258,127
22/11/2001,291,256,301,222,262,149
29/11/2001,280,247,294,210,262,149
6/12/2001,276,257,288,238,244,144
13/12/2001,278,236,295,217,240,139
20/12/2001,285,248,300,220,256,132
27/12/2001,,,,,,
